"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","patent_title","app_year","country"
"1",0.00495298706578556,0.00541334024124713,0.0321932694036929,0.000618606033029421,0.0021825438631905,0.00720212482091578,0.00135792994245935,0.685693761500524,0.0015738129243881,0.00601200183402263,0.00409375284232983,0.00297314365018219,0.0978212083451506,0.00359821271743149,0.000807004859396383,0.00570415586241836,0.00778433137134039,0.00375417619566813,0.00137253755249603,0.00245446885161197,0.0122087066796197,0.0310828893546902,0.00104264426923359,0.00437623332996678,0.00422733681348203,0.00453898620365934,0.0384531573753408,0.0172017340533006,0.0013549377049667,0.00795000433845985,"Active cooling of structures immersed in plasma",2014,"US"
"2",0.0123727292299782,0.0969078220666187,0.18023111768279,0.00179040803274805,0.00278197566261916,0.00575212499084945,0.0041066171335307,0.135477794983864,0.0357810224682863,0.0082431880754778,0.00243275702190625,0.0152270995935887,0.00923392888008634,0.134235229942307,0.00220060488098916,0.0101945984345879,0.0393369680418255,0.00360936475913223,0.0898163006028417,0.00361378051939196,0.00296235772768082,0.082384479936486,0.00394572805250267,0.0103322588695828,0.0240278971950241,0.00503177122382672,0.00255032290628209,0.00409882033021689,0.00570966145894034,0.0656112692960381,"Alf{acute over (v)}en-wave gyrating non-linear inertial-confinement reactor",2015,"US"
"3",0.00711878581386897,0.00694236708910249,0.215003700571388,0.00295516139045479,0.00473100026159637,0.0122473181998331,0.00192584309001222,0.148772499258593,0.00728340726648619,0.0179471461199437,0.00321811636562856,0.0227079847305658,0.016381017510157,0.120955885757938,0.00247349144869436,0.00946764222971716,0.0486298052325742,0.0160891579790287,0.0462743062087164,0.00274521470026708,0.00476724957321872,0.11720753538396,0.00262621450368109,0.045017449231881,0.0165639019305094,0.00897722278985057,0.00366300869838414,0.00534360213525921,0.00438546145774273,0.0775785030709467,"Apparatus and method for controlling a plasma fusion reactor",2016,"CA"
"4",0.00233616451584219,0.00149293902844865,0.00683106455170995,0.000733829769874783,0.00166115481750289,0.0471558961007594,0.000669449618957445,0.00359546793304965,0.00161595214454697,0.00427481118049554,0.16896439029313,0.00128147642271334,0.215748193817098,0.00335468040416077,0.00175298517153468,0.00193127615209823,0.0982670912124805,0.0031909293855836,0.00133786968852759,0.00412375326061229,0.0826847441006865,0.00622342116706596,0.00121023393488009,0.00736544295865259,0.00253229794374896,0.0118787080544914,0.0992792983050297,0.210272284282202,0.00416467758658492,0.00406951619753183,"Apparatus and method for generating a vortex cavity in a rotating fluid",2016,"CA"
"5",0.0778403416688855,0.057695378332479,0.0137537623260841,0.00226157127301623,0.00463770000467369,0.0091719469475892,0.00590261344311586,0.519470664124025,0.00533133870774489,0.00966610272903547,0.0614417652784051,0.0142274319381721,0.0102573986295953,0.0115942757153484,0.00299085470487178,0.0110136344477883,0.0607374045791395,0.00647920277491124,0.00562886278074822,0.00704413756617634,0.00992982936311437,0.0229336888616073,0.00273330445357914,0.00899254751313509,0.0110873775870132,0.00626178846267385,0.00600562245838344,0.0055423533442214,0.0101509079233664,0.0192161920611004,"Apparatus and methods for fusion based power generation and engine thrust generation",2015,"US"
"6",0.00187520774483119,0.00112985485039824,0.00313797011641068,0.0023094013284466,0.00313094888604817,0.0788037930646474,0.00164484574888236,0.47992848566612,0.00215220179104195,0.00212776138612569,0.00287743982161473,0.00423707077785677,0.00718196697241819,0.00399074076705276,0.00552158314556445,0.00139453331860233,0.0200307904829177,0.00577068861891829,0.000832242346418978,0.00489927540832058,0.01587059746846,0.00713689982242667,0.000506276672407369,0.00281009902089703,0.0322164391122271,0.0518717164266719,0.215402438172238,0.0345948924010468,0.000862349029477117,0.00575148963151129,"Apparatus for accelerating and compressing plasma",2013,"CA"
"7",0.00672268066357495,0.00234131901883936,0.0127827632545887,0.000438677978132971,0.00187218139200404,0.00471265674226569,0.0013801311280323,0.743128704153151,0.0135292537286814,0.0598190493154662,0.0419260266142203,0.00307575511262186,0.00555308769006034,0.00528062132931766,0.000704465583127323,0.00422004698266209,0.0110146686653525,0.0031475702489329,0.00148044133856525,0.00205706982564824,0.0058668681845933,0.00595331245448105,0.00167136390712321,0.0078705798752911,0.00701083524885759,0.00264458878169985,0.00424757472150507,0.00377519944999318,0.00220288939248531,0.0335696172187254,"Apparatus for magnetic and electrostatic confinement of plasma",2017,"US"
"8",0.00666597166476795,0.00256028394658376,0.0146829424508339,0.000493883487923005,0.00169155780520575,0.00531535230093013,0.00138881774710836,0.735135947626152,0.0129658263116743,0.0593318046337541,0.043476830503569,0.0032449297868034,0.00612564473549156,0.00641720179094804,0.000773100848324857,0.00402184209859649,0.0133903528130567,0.00293680300147595,0.00171681136299411,0.00210291309733853,0.00569856766836984,0.00654939991497411,0.00140083177625539,0.00776703855730449,0.00775111095989659,0.00295086676175893,0.00413382784760951,0.00396734688941674,0.0022059692425171,0.033136222368365,"Apparatus for magnetic and electrostatic confinement of plasma",2013,"US"
"9",0.00669097196005212,0.00239931637150105,0.0133485999231563,0.000443249922984993,0.00180848529995636,0.00470425477359598,0.00137325480901817,0.743076097913195,0.0133927392171871,0.060041186365985,0.0416047571808067,0.00308387999270847,0.00567444280211034,0.00548064566546949,0.000703120247364044,0.00419061327534426,0.0109682418367715,0.00307136121680893,0.00152748451387535,0.0020414327262378,0.00575021491391558,0.00602028407443488,0.00160098154038596,0.00782212551801377,0.00692186056073554,0.0026600650839029,0.00416724956826272,0.00380148089249312,0.0021767711040099,0.0334548307297166,"Apparatus for magnetic and electrostatic confinement of plasma",2016,"US"
"10",0.010694386303651,0.0051984058738466,0.0116191822939151,0.00196292296507571,0.0150204004162203,0.0205713323068241,0.00342096870358181,0.43195281718845,0.00337744001791837,0.00480821924260833,0.0153932007569801,0.0140946794307243,0.0171259463379531,0.224352015142887,0.00294041092271986,0.00857847004020939,0.0123181473891211,0.00593481904163382,0.00726242290778132,0.00579451287492128,0.00595190490626642,0.0810709100149307,0.00139405728326557,0.01524115358838,0.0365793730231257,0.00644693762554936,0.00396257990512571,0.00405232080391231,0.0045724316220806,0.0183076310703417,"Application of compressed magnetic fields to the ignition and thermonuclear burn of inertial confinement fusion targets",2014,"US"
