"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19","Estimate.20","Std..Error.20","t.value.20","Pr...t...20","Estimate.21","Std..Error.21","t.value.21","Pr...t...21","Estimate.22","Std..Error.22","t.value.22","Pr...t...22","Estimate.23","Std..Error.23","t.value.23","Pr...t...23","Estimate.24","Std..Error.24","t.value.24","Pr...t...24","Estimate.25","Std..Error.25","t.value.25","Pr...t...25","Estimate.26","Std..Error.26","t.value.26","Pr...t...26","Estimate.27","Std..Error.27","t.value.27","Pr...t...27","Estimate.28","Std..Error.28","t.value.28","Pr...t...28","Estimate.29","Std..Error.29","t.value.29","Pr...t...29"
"(Intercept)",-0.968090797044959,1.05253008226458,-0.919774943593117,0.357727660016466,2.33647302229178,0.943764370364237,2.4756953066474,0.0133253243083712,11.7914748676757,1.30898754372307,9.00808791055253,2.77673567125591e-19,-1.23688059916123,1.18990367452715,-1.03947960296261,0.298623970046208,-3.70669666737053,1.23560722522062,-2.99989882845553,0.00271187843367195,0.104668342005524,0.947150251398662,0.110508698964034,0.912009677815243,-0.93488821193722,1.11532528965222,-0.838220222038302,0.401940696709647,-2.57659323830208,1.12368333501536,-2.29298874336945,0.0218833667301213,5.19372541688173,1.24828566701934,4.16068657527994,3.2176211163307e-05,-2.27691356624721,1.10939656826245,-2.05238922796862,0.0401754955170101,-0.2014132358432,1.20703471360123,-0.166866150222206,0.867481037190095,-2.17638140575171,1.03784147832035,-2.09702681114074,0.0360332971755063,-3.39390915470343,1.50503496824929,-2.25503674419694,0.0241672113908663,6.87876420527012,1.47371025079432,4.66765037534516,3.11343767443762e-06,0.122538444606824,1.00836747882779,0.121521615065643,0.903281998159673,0.877118191442088,1.11320563522202,0.787921084559687,0.43077424949464,-1.44682336526597,0.886267520389306,-1.63249056518559,0.102629090695969,1.49716166234076,1.44950247044957,1.03287969000591,0.301702177164869,-2.96095455288392,0.91122021661996,-3.24943904764005,0.00116275389604299,4.00277376381322,1.22480845511043,3.26808142702797,0.00108893759195268,-3.02255826610377,1.21999744703131,-2.47751195992969,0.0132577518776787,-0.973027457911456,1.42145915350392,-0.684527202567111,0.493668975207135,-0.207426901903744,0.707223744617902,-0.293297423173782,0.769305050095517,-5.53621129890958,1.39464766134957,-3.96961286519658,7.28372868019421e-05,3.89471022375183,1.31293161613854,2.96642275643156,0.00302483772942658,-1.42180414651919,0.762672753283916,-1.86423881067888,0.0623373754800946,-2.51427986282465,1.28046504193894,-1.96356775114877,0.0496267319373892,0.406265850003934,0.956400761756899,0.424786204956202,0.671007892139622,-0.93917609447335,1.09910363870068,-0.854492753370929,0.392866419567152,0.419240882417341,0.495008856767438,0.84693612384052,0.397064783515248
"app_year",0.000489624524306167,0.000522118502273787,0.937765128364326,0.34840318185052,-0.00114681465197985,0.000468159580987696,-2.44962337321041,0.0143291902989095,-0.0058393570320289,0.000649393068255175,-8.99202242444381,3.20798864456325e-19,0.000636549319495516,0.000590085274748932,1.07874123747005,0.28074681811253,0.00185809636508003,0.000613044809175841,3.03093075297057,0.0024484964340664,-3.85626737009355e-05,0.00046986184107086,-0.0820723675134962,0.93459192664319,0.000479662330372243,0.000553289525187044,0.866928269083152,0.386016266206485,0.00129236082027431,0.000557347571619441,2.31876998498297,0.0204412185271363,-0.00256355324470769,0.000619225980666315,-4.13993166428384,3.52210770145721e-05,0.00114751527237486,0.000550544934686126,2.08432627398356,0.0371730420635523,0.000112783347972488,0.000598895331214251,0.188318963421909,0.850633041730428,0.00109882330936191,0.000515078406858924,2.1333127048808,0.0329398711120938,0.00171921447304603,0.000746671451233321,2.3025046293203,0.0213410730765339,-0.00339138752539192,0.000730946834053271,-4.6397184684225,3.56357993372443e-06,-4.62043244859756e-05,0.000500433178706667,-0.0923286593534571,0.92644002654189,-0.000418359091598231,0.000552467160361399,-0.757256035498219,0.448926465862748,0.000732221694598159,0.000439634207095443,1.66552484492909,0.0958607260375272,-0.00072316441398255,0.000719107802871276,-1.00564117242933,0.314629098366657,0.00148338164387749,0.000452044032815878,3.28149812007736,0.00103852223823235,-0.00197064718759585,0.000607699540719395,-3.24279854689869,0.00119014607716461,0.00152418115119823,0.000605320767268321,2.51797267435003,0.0118292781277018,0.000504492744226126,0.000705063093651781,0.715528509105721,0.47431060316363,0.000114602214760119,0.000350755280843476,0.32672983421527,0.743883723634672,0.002772095815743,0.000691843435541801,4.00682534997546,6.22912412840633e-05,-0.00191872060890346,0.000651392508007366,-2.94556751162659,0.00323611775526857,0.000711140549071827,0.000378200281871695,1.88032791925069,0.0601122011049235,0.00127171530267439,0.000635246284276313,2.00192481900647,0.0453381232798604,-0.000182268870167058,0.000474547522709452,-0.384089814917556,0.700925602848521,0.0004777267171117,0.000545205065979238,0.87623308535048,0.380938700797829,-0.000202467678672822,0.000245607607535446,-0.824354264529866,0.409771332158439
"US",0.0332740110654945,0.00365338842005156,9.1077124137337,1.1281322058065e-19,-0.0056257096423424,0.00347394909372622,-1.61939898673304,0.105414432998987,0.0309397855405258,0.00401912840175878,7.69813313926136,1.60650132153269e-14,-0.0227739999815271,0.0045757710483909,-4.97708467943032,6.6365547599983e-07,-0.0194749307432086,0.00470569556291297,-4.1385870553753,3.54274982023681e-05,0.000194826122095771,0.00371626623602036,0.0524252326723513,0.958191628603601,0.00293087045789726,0.00447709325975909,0.654636901187752,0.512726859312339,-0.00118943877163682,0.00427494864618777,-0.27823463392888,0.780841916435252,0.0173478609090691,0.00485138846443682,3.57585483748372,0.000351856362040057,-0.0139684915298554,0.0034654564097598,-4.03077975256472,5.62860115204034e-05,0.0197791001958228,0.00455206088896984,4.34508691299579,1.41536314450156e-05,-0.0116189306124381,0.00416798127824881,-2.78766382015031,0.00532580438910549,-0.030862613892097,0.00529387693256544,-5.82986992051982,5.83821343455161e-09,0.00451708434956122,0.0053271011945042,0.847944160366497,0.396503172064623,0.00887191356072902,0.00359717036522643,2.46635901554542,0.0136774239862477,0.00177556413972334,0.00411653932597771,0.431324469201234,0.666248084589203,-0.00215563258586018,0.00369383131828062,-0.583576346649084,0.559527493984588,0.000658861483093617,0.00522876443054507,0.126007107768084,0.899730554905295,-0.00576985272447047,0.00302076912384772,-1.91006081163896,0.0561734047776865,0.00184330516985839,0.00438633001577035,0.420238596555908,0.674326334067268,-0.00788297286075415,0.00462297874723792,-1.70517177165566,0.0882145830857642,0.00442742777723237,0.00474103778492705,0.933852033685171,0.350418112723384,0.000111976019477983,0.00254603738601853,0.0439805087281493,0.964921416185734,-0.0124558094857486,0.00502903022590994,-2.47678159132457,0.013284882239323,0.0132091021236352,0.00425475782035821,3.10454852692959,0.001914646396939,0.00518407883134875,0.00307125958125527,1.68793248964972,0.0914765882469417,0.00116893716798164,0.00493021884810851,0.237096405655523,0.812590161892764,-0.0157097846959587,0.00350050090774617,-4.48786762522898,7.32948014539755e-06,0.00197924483137978,0.00380758647379194,0.519816121052838,0.603211076390297,0.00127878224544439,0.00176085338895975,0.72622868744334,0.467727149617534
"JP",-0.0145406900057899,0.0046193045710249,-3.14780932545517,0.00165311846060159,0.00641511055831175,0.0049313025043675,1.30089576792949,0.19334450318523,-0.00340201053011495,0.00519304740531828,-0.655108699110064,0.512423092634924,-0.00259389774939297,0.00670057431327467,-0.387115734878745,0.698684372083708,0.0182258752762657,0.00643210035041879,2.83358067867815,0.00461846102762627,-0.0023374511231015,0.00473482009376534,-0.493672637357305,0.621555611304614,-0.0118789355784656,0.00565434843163747,-2.10084958896413,0.0356961311440921,0.0240607335257346,0.00675412866105995,3.56237417632471,0.000370392376338157,-0.0126787869016291,0.00563764324402656,-2.24895161911195,0.024551998619119,-0.0183398658549966,0.0048778611170104,-3.75981714424804,0.000171667784830892,-0.00827711890573165,0.00550793542097479,-1.5027625186402,0.132953355292422,-0.00811435820033271,0.00532826045051416,-1.52289068368452,0.127839190805616,-0.0302498306873439,0.00723133305805827,-4.1831610360741,2.91617777048745e-05,0.00251658964528536,0.00713441526375832,0.352739440058841,0.724296281032786,-0.0122064557769578,0.00445661053388977,-2.73895501617995,0.00618183227604697,0.0100679613153214,0.00668031463173273,1.50710885195387,0.131835837826423,0.000939720902052718,0.00476165808615616,0.197351612620995,0.843559132384433,0.0407867238092962,0.00765586671903724,5.32751226035259,1.03225081821905e-07,0.0182215943662023,0.00436937915177231,4.17029370381173,3.08530769577724e-05,-0.00488599035183655,0.0058299780623406,-0.8380804009192,0.402019208142868,-0.0235180957802373,0.00575654672154804,-4.0854520805336,4.45690956526657e-05,0.0103772133286679,0.0072076582832801,1.43974824011016,0.149991239894353,-0.00723411373403322,0.00327832674112908,-2.2066481791689,0.0273766964370588,0.00802611798160795,0.00700478552285359,1.14580495797083,0.251921936265952,-0.00014095003466107,0.00567938814277164,-0.0248178203563112,0.980201108952554,-0.00453259649205505,0.00354739010112921,-1.27772710720826,0.201395504067074,0.005407575554466,0.0063723255047778,0.848603159146774,0.396136280804159,0.00160099614254731,0.00466626483936717,0.343100144904,0.731535241237498,0.0135639800218603,0.00535609082302218,2.53244025727832,0.0113526593938503,0.00460063975158105,0.00256919304551201,1.79069445934305,0.0733931489241208
"KR",-0.0154604900618267,0.00606250995847561,-2.55017973870911,0.010791577733903,0.0060281816836725,0.00633615183477102,0.951394764656923,0.341442654712954,0.0190888319223794,0.00768992914878142,2.48231570838391,0.0130805289454033,-0.0328333192017056,0.00716105567047383,-4.58498309642845,4.63312968827159e-06,-0.0207552287745798,0.0074746715643558,-2.77674123817755,0.0055078627478378,-0.00231236578598062,0.00634209354039371,-0.364606067578919,0.715418440098534,-0.0138655537076893,0.00762447600986478,-1.81855824449439,0.0690290962772837,-0.0120498105607944,0.0073527204480368,-1.63882343221844,0.101302898989578,0.0263294977091487,0.00791574094755952,3.32622023428727,0.000885657450514675,-0.0313677911947261,0.00579811219002596,-5.41000073242557,6.54844350883246e-08,0.0157792442313246,0.00756441851871066,2.08598244429423,0.037022698299079,-0.00317817189737809,0.00714672493653939,-0.444703262767104,0.656550383585419,-0.0296026529565319,0.00937468331335789,-3.15772298295681,0.00159801479967657,0.0859192795525109,0.0119554394922445,7.18662660693044,7.45577093151604e-13,-0.0125386567382578,0.00579488124920864,-2.16374696892539,0.0305234394451416,0.0151743630419314,0.0084070783585539,1.80495082771437,0.0711329036515855,0.0079090155968462,0.00649415085507594,1.21786755086916,0.223322593704056,0.0164409156246756,0.00959059758982376,1.71427436827507,0.0865304182247912,-0.00927665321079959,0.00526122690322457,-1.76321101169653,0.0779162208313147,-0.00108904095648303,0.00791968357747748,-0.137510665145778,0.890631815333224,-0.0240420948140088,0.00771352403270773,-3.11687559565029,0.0018364966773904,0.0273782372975253,0.00940488592884844,2.91106532334918,0.00361535692304491,-0.0156268575780091,0.00395677313402558,-3.94939437988716,7.92541249819283e-05,-0.0319893491028604,0.00825008320963392,-3.87745775285094,0.000106690689929872,0.0181093914756252,0.00806438264363733,2.24560171260142,0.0247660843946904,-0.0051298734260779,0.00441195565143425,-1.16272098619356,0.244989347388809,-0.00183942529124668,0.00851279492271833,-0.216077716889168,0.828934574540863,-0.00388065490793466,0.00699205893201167,-0.555008895901592,0.5789094354271,0.0209943958625058,0.00796109160502305,2.63712527177296,0.00838292862444507,0.00748315169622275,0.00351383816657185,2.12962331828828,0.033243647320697
"FR",0.00272222018874391,0.00651434734461564,0.417880724612257,0.676049403029947,0.0243328367907687,0.00730644364996645,3.33032566272928,0.000872724771114555,0.00455276439011608,0.00804620288394591,0.565827689878405,0.571532254905687,-0.0281812400475223,0.00749072261933773,-3.76215239565416,0.000170076174573816,-0.0224252999385566,0.00735852534051085,-3.04752635899733,0.0023174562322301,-0.0113825748880263,0.0060657956634925,-1.87651802327158,0.0606330788445094,-0.0130444324963798,0.00716482568991597,-1.82062105359227,0.0687146793134366,-0.00347994083306931,0.00770384004910976,-0.451715094145996,0.651490704786348,0.0241114372407995,0.00867915169338514,2.77808685602029,0.00548513443809779,-0.0186635268516108,0.00630805529783367,-2.9586815540473,0.00310174778773343,0.0234822371860904,0.00811856023846829,2.8924139867589,0.00383680079648188,-0.0188227130668106,0.00650408121535362,-2.89398493708496,0.00381768452678952,-0.0576494041376266,0.00895450116533528,-6.43803636553193,1.30490870738083e-10,0.00280385853785072,0.00889156692448418,0.315339080463973,0.752515272517475,0.0007429616594988,0.00664003243702985,0.111891269590113,0.910913392644406,0.0116875629974887,0.0084818083020526,1.37795651366705,0.168268524278038,-0.00502417175997209,0.00615579094974251,-0.816169977341781,0.414435592933707,-0.00507446861253977,0.00940142584454298,-0.539755213352582,0.589386052635332,-0.00332397264281153,0.00612810085073756,-0.542414807421367,0.587553092091551,0.0237614170659635,0.0075614515488676,3.14244122473046,0.00168368102371235,-0.0272562263734519,0.00717674432988888,-3.79785389036897,0.000147407838453106,0.056251451473801,0.0102735964996395,5.4753417146347,4.54538852064069e-08,0.00595490249366504,0.00466921448056966,1.27535424179926,0.202233670689811,-0.022378786187895,0.00863302028628717,-2.59223139130599,0.00955887566945459,0.0124288537965419,0.00779609459807426,1.59424101903689,0.110935166965853,0.00135646551221125,0.00495542812804592,0.273733263233937,0.78429911321394,0.0210727442342622,0.00842877185668727,2.50009664427485,0.0124426433792068,0.0231739068627077,0.00688845762714099,3.36416482717422,0.000772609018872604,0.00174485144805689,0.00696292737412353,0.250591648354874,0.802138490283429,-0.00348053319275527,0.00306216674081009,-1.1366243210631,0.255741135166999
"DE",-0.00670911247290778,0.00588413369326515,-1.14020394889852,0.254247229512448,0.0107927874542981,0.00625968822331534,1.72417332449536,0.0847284901665481,-0.0063716767297833,0.00669600228773868,-0.951564300007892,0.341356639014321,0.000818819206502409,0.00827301731952057,0.0989746757292972,0.921161710783115,0.0977518233845014,0.0113437832819474,8.61721534649422,8.68530771817165e-18,-0.00472426634094545,0.00609738966633564,-0.774801447745523,0.438487776930837,-0.00984523947969785,0.00713706959623782,-1.37945123652537,0.167807503692003,0.000777034473929863,0.00727672741216812,0.10678350718903,0.914964331436371,-0.011858109012287,0.00664922514535501,-1.78338208634291,0.0745750763417856,-0.0250628675109608,0.00593427163821252,-4.22341089841146,2.4422210978734e-05,0.00295893387522747,0.00775111383162263,0.381743055192371,0.702665590582792,0.00800224789898883,0.00720273713677046,1.11100096352771,0.266612819578059,-0.0103170175239992,0.010717740161338,-0.962611275202926,0.335781748731528,-0.00674799279276031,0.00892817446294788,-0.75580879616148,0.449793757020173,-0.00284802372789377,0.00607920426604893,-0.468486269461182,0.639454046691046,-0.0105327004004392,0.00735058149165977,-1.43290709889959,0.151936917183558,-0.00517324253784542,0.00668862935901367,-0.773438362356542,0.439293714763333,-0.0197247884667734,0.0081381381184597,-2.42374707576316,0.0153909159049772,0.012141566377233,0.00625682076532786,1.94053287326296,0.0523621319455533,0.0104968479329535,0.00847412240955734,1.23869439519955,0.215507551456324,-0.0105348528590423,0.00763536137813656,-1.37974515380611,0.167716961886696,-0.00617599674049529,0.00825722632295595,-0.747950522238367,0.454519557297892,-0.00199362537351975,0.00427319852931393,-0.466541715729699,0.640844872944865,-0.0124667988672661,0.00870783730010371,-1.43167567762407,0.1522891759746,-0.00978474200466278,0.00710984259698013,-1.37622484199844,0.168803815866552,-0.00795494934341611,0.00454570399532629,-1.74999281774508,0.0801710890714645,-0.0097464898911015,0.00872235815787487,-1.11741454715455,0.263862227429391,0.0143473275796875,0.00772911754247592,1.85626981357713,0.0634645014029251,0.00616010057758378,0.00686810484127742,0.896914173552139,0.369800997856677,0.0141707580960926,0.00360408511489912,3.93185999895269,8.52484240956468e-05
