"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19","Estimate.20","Std..Error.20","t.value.20","Pr...t...20","Estimate.21","Std..Error.21","t.value.21","Pr...t...21","Estimate.22","Std..Error.22","t.value.22","Pr...t...22","Estimate.23","Std..Error.23","t.value.23","Pr...t...23","Estimate.24","Std..Error.24","t.value.24","Pr...t...24","Estimate.25","Std..Error.25","t.value.25","Pr...t...25","Estimate.26","Std..Error.26","t.value.26","Pr...t...26","Estimate.27","Std..Error.27","t.value.27","Pr...t...27","Estimate.28","Std..Error.28","t.value.28","Pr...t...28","Estimate.29","Std..Error.29","t.value.29","Pr...t...29"
"(Intercept)",-1.19665554800424,1.03278915905299,-1.15866393204737,0.24663969109019,2.06246383985728,0.87825989469856,2.34835252333271,0.0188892154818375,12.1015803253373,1.1473649772754,10.5472805646155,8.81906811256486e-26,-1.42933699735919,1.13497065315031,-1.25936031331895,0.20794960903743,-4.55681625653364,1.21602264264239,-3.7473120127367,0.000180431904834886,-0.00851897613643178,0.832907842105183,-0.0102279936696237,0.991839726888237,-2.63215858942401,1.03836464283375,-2.534907758647,0.0112730948747788,-1.88828343238897,1.21782186751639,-1.55054157160103,0.121064759262535,4.97951210176805,1.15296938893169,4.31885889562248,1.59386891059162e-05,-2.16531272776676,1.05814443775582,-2.04633001932996,0.0407677618914036,-0.114543908989371,1.05354434594399,-0.108722437200057,0.91342631056477,-0.894651397510296,1.08474347675325,-0.824758495149546,0.409541771368058,-4.1631009372283,1.37471564492278,-3.02833604360568,0.00246958697129769,5.9769882244734,1.36732107604516,4.37131287536447,1.25604044612756e-05,0.260781050194989,0.895527381982848,0.291203882138786,0.77090554242265,0.903350020897286,1.13178089182759,0.798166877900334,0.424805504840352,0.984199440307833,1.30755404552386,0.752702684586566,0.451658369132712,4.91459217373102,1.19970824786327,4.09648944439959,4.2503110350834e-05,-2.69965954277383,0.796223791243031,-3.39057884537617,0.00070198999730241,-0.110894096241505,1.27499315587916,-0.0869762286410385,0.930693333537037,-0.493240422823107,0.526754548205524,-0.936376201218216,0.349117523550991,-2.84280093339574,1.195736828553,-2.37744699796184,0.0174643625760662,3.96777305681448,1.09855741978389,3.61180306587435,0.000306581536817506,-0.212426183808957,0.979843617936895,-0.216796006954896,0.828374755385589,-1.1417427953172,0.70928057079595,-1.60971954164196,0.107512136322697,-5.637405312304,1.28125505202735,-4.39990874836657,1.10186753242543e-05,-2.59634521566128,1.27969190365938,-2.02888305242599,0.0425146348424773,-0.363824887180679,1.02320092577315,-0.355575213055798,0.722171311800596,-1.85321926176747,1.19188035808063,-1.55487020924804,0.120030159757325,1.91091568881381,0.719743612505962,2.65499499489894,0.00795207765916844
"app_year",0.000604125674989957,0.000512279321730548,1.1792895972243,0.238330023397867,-0.00101190192044366,0.000435839692300896,-2.32172961370636,0.020281090689567,-0.00599297243839055,0.000569184246523219,-10.5290553542157,1.06666926994511e-25,0.000732591424024231,0.000562890057063839,1.30148226075549,0.193143813707544,0.00228233697505075,0.000602948624487171,3.78529261426205,0.000155037749325083,1.63830243149428e-05,0.00041322059290675,0.0396471632734914,0.968375756067481,0.00131944107594961,0.000515043788148838,2.56180368797753,0.0104374290371726,0.000954494044464124,0.000604330800672754,1.57942312952039,0.114292182946281,-0.00245692944281651,0.000571918288423952,-4.2959448797959,1.7672066892915e-05,0.00109183039560488,0.000524839923884514,2.08031124523433,0.0375396775871775,6.45234627789537e-05,0.000522640518574374,0.123456679085955,0.90174964610049,0.000462086586388185,0.000538088885135552,0.858755122347081,0.390510219398853,0.0021015572850662,0.000681912741565157,3.08185660271226,0.00206654325065977,-0.00294627167559372,0.000678345717223823,-4.34331875441264,1.42677133198926e-05,-0.000113070012674742,0.000444166890167314,-0.254566504568021,0.799066728364828,-0.000432864886143288,0.000561550398545517,-0.770838890444135,0.440833034593719,-0.000468028515059054,0.000648665062839366,-0.721525702356125,0.470614479169509,-0.00241984835793103,0.000595146649248048,-4.06596989328335,4.84502591171695e-05,0.00135416011961543,0.000395044408491472,3.42786808396165,0.000612463937684414,7.77156131572633e-05,0.000632581732704184,0.122854659152173,0.902226338899409,0.000254996647025578,0.000261405327910957,0.975483740378996,0.329360013418715,0.00143546324331269,0.000593213526496862,2.41980868472372,0.0155584429604887,-0.00195655890516966,0.000544852816353857,-3.59098612770859,0.000332085933112622,0.000124994151989503,0.00048620813830715,0.257079514186455,0.797126279241993,0.000571736148526558,0.000351794388173948,1.625199740946,0.104172959374006,0.00282281724651205,0.000635612625256739,4.44109687936398,9.11208062645278e-06,0.00131185609790212,0.00063484804047268,2.06640961973415,0.0388329840896759,0.000191079277735747,0.000507609043524285,0.376430010799454,0.706610658330245,0.000933656118523341,0.000591374621620935,1.57878962740103,0.114437467347035,-0.000939868976268842,0.000357079039064594,-2.63210346575068,0.00850770971853612
"US",0.0272930646842371,0.00346698830073282,7.87226904644243,4.10896481029015e-15,-0.00272111364742273,0.0037574753785059,-0.724186687420088,0.468979598354404,0.0311335874965265,0.00403668058643549,7.71267055440182,1.43525049372071e-14,-0.0230971167016503,0.00425103256418136,-5.43329564121987,5.7518868049476e-08,-0.0229228483171528,0.0051755747349677,-4.42904401752317,9.6346379810018e-06,0.000355163232398664,0.00343972378868407,0.103253416325774,0.917765325493979,-0.000549191646373403,0.00379098352968417,-0.144867853440439,0.884820113747965,0.00433230245215406,0.00465015380802193,0.931647130613282,0.351556711054354,0.0152785181213553,0.00407159370856369,3.75246628592149,0.000176769787085315,-0.0118295499386769,0.00374381515978185,-3.15975800989228,0.00158691472671549,0.020554175035119,0.00379240875703043,5.41982058158033,6.20041696419299e-08,-0.00795587048198809,0.00370348094120069,-2.14821423636346,0.0317369815974078,-0.031664547306703,0.00513885570936964,-6.16178953010283,7.66389291355067e-10,0.00574422217174321,0.00472182218018831,1.21652657650783,0.223832640166644,0.00744659624643242,0.00340380689092481,2.18772582730426,0.028728345370758,0.00328290548702175,0.00385162486663387,0.852342998265782,0.394058047727434,-0.00245669059721308,0.00443762138440491,-0.55360527282625,0.579869815046857,-0.00215854248009856,0.00464290222082116,-0.464912327987125,0.642011251621157,-0.0074354260218932,0.0030554354727589,-2.43350778904828,0.0149825529365292,-0.00320949358999647,0.00491844416401452,-0.652542446954776,0.514076504302446,-0.000278591803830377,0.00204877534620744,-0.135979674075094,0.891841948790696,-0.00804078787041751,0.00456489857096553,-1.76143845157041,0.0782155659245672,0.0126558470756331,0.00380836463157827,3.32317104583241,0.000895377584079424,-0.0122389368266661,0.00377035094242459,-3.24610016774609,0.00117645314581211,0.00352234454505511,0.00262511150116789,1.34178854631053,0.17971576156344,-0.0131292233087922,0.00497121958528449,-2.64104674588437,0.00828662968825131,-0.00102372718988802,0.00430016008008874,-0.238067227922105,0.811837148629152,0.00116607648192905,0.00360460432704386,0.32349638854408,0.746330709257395,0.0137171239483733,0.00378140947257401,3.62751615445549,0.000288558092640324,0.00450508244075912,0.00244320052574201,1.84392660090433,0.0652435187249607
"JP",-0.010082855291958,0.00473762712071859,-2.12825007858124,0.0333573277248438,0.0072743935634365,0.00481193305907734,1.51174039084229,0.130653016846213,-0.00505304486888967,0.00491646030280087,-1.02778107778293,0.304094591160344,-0.0044965315312123,0.00586167202067682,-0.76710732285105,0.443048140024825,0.018613911994639,0.00673547004754746,2.76356540274673,0.00573494385088629,-0.00292789179196285,0.00415141587126468,-0.705275472936634,0.480666424546846,0.022480631168363,0.00521312749351497,4.3123117929359,1.64166704203211e-05,-0.0143012057221056,0.00598195002750849,-2.39072637791027,0.0168459764506442,-0.0132925929611937,0.00514849751174365,-2.58183925132982,0.00985122215288458,-0.0160393144530481,0.00521678620271682,-3.07455851740581,0.00211769742351619,-0.00166422712231025,0.00469359749847811,-0.354573889825421,0.722921403407858,-0.00406171537686281,0.00509983968928564,-0.796439814646753,0.425808214777178,-0.0278166670502341,0.00705268491642425,-3.94412445471013,8.10124617851966e-05,0.00319591881863137,0.00693711352971533,0.460698647202695,0.64503166012802,-0.0158872858572032,0.0047113231006017,-3.37214950406908,0.000750594994851124,0.0123794334117303,0.00523853486103556,2.36314804427646,0.0181524017676993,0.0317749917981139,0.00627993318603123,5.05976590145778,4.32369485178427e-07,-0.00846817569313113,0.00588616165999505,-1.43865836215213,0.150299930906733,0.0195308990291661,0.00435451291047225,4.48520866299326,7.42116903330672e-06,0.00536513512744357,0.00687592306203545,0.78027852828466,0.43525798183146,-0.00693372405345014,0.00271682861704642,-2.55213892033723,0.0107311484172757,-0.0222600110516213,0.00589441978397966,-3.77645499767787,0.000160627027135359,-0.00056276041007687,0.0049816499098562,-0.112966671737299,0.910060788505307,-0.00609637502809148,0.00526667859889859,-1.15753693976435,0.24709951283113,-0.00228444733704717,0.00333030033491961,-0.685958354294288,0.492766092751557,0.00744592708485362,0.00681281355535774,1.09292981884085,0.274468854913478,0.0084413531357264,0.00583609075879321,1.44640539097303,0.14811619596797,0.0143274558135982,0.00507822736591107,2.82134980993073,0.00479804804485251,0.00210878531035388,0.00475686136535747,0.443314435377792,0.657554431254596,0.00940438859950159,0.00357852124921544,2.62800971254912,0.00861065700557703
"KR",-0.014408688410645,0.00593627792758005,-2.42722604743656,0.0152442543570035,0.00205763803932511,0.00604774719645333,0.340232151326001,0.733693716131051,0.0170599810303634,0.00713552148884271,2.39085272983045,0.0168401861052494,-0.0316505868382186,0.00714251126827379,-4.43129673155811,9.53484356109507e-06,-0.022828977064101,0.00805834079013992,-2.83296247436373,0.0046273900105853,0.000823388505586945,0.00588591956799106,0.139891226184047,0.888750667727318,-0.0116946418204408,0.00717540571873312,-1.62982307605396,0.103191819356691,-0.0141442796042789,0.00733912847947816,-1.92724240266804,0.0539969746440913,0.0252256527399952,0.00828105217080679,3.04618932711513,0.0023277706283628,-0.0307461328202509,0.00620609497838247,-4.95418341603667,7.46422136746303e-07,0.0176028189147188,0.00747709668769172,2.35423181616673,0.0185933525047868,-0.00275548369167313,0.00707367592105668,-0.389540561714271,0.696890250644158,-0.0301335967599144,0.00989566472149088,-3.04513113651394,0.00233596372448815,0.0831733277985947,0.0112657796061359,7.38282930311317,1.76221924036678e-13,-0.015119278200292,0.00596643141049269,-2.53405715411442,0.0113004664814186,0.0171027573318632,0.00766424110390375,2.23150043168032,0.0256850960188401,0.0101268905127864,0.00858286583322301,1.1798961686651,0.238088676839905,-0.00165052066296114,0.00825988889268922,-0.199823591382931,0.841625377642406,-0.00538089513855404,0.0054259722305771,-0.991692347452677,0.321387944847341,0.0284380485238224,0.0096278733526363,2.95372066937664,0.00315196826907673,-0.0116394759412304,0.00323369879012699,-3.59943108392397,0.000321508871107152,-0.0258352081893811,0.00773917182503634,-3.33823938445246,0.000848288242923274,0.0158868309908403,0.00652464881802374,2.43489441867804,0.0149253212760333,-0.00161562821487758,0.00694779888300032,-0.232538137917413,0.816128065704822,-0.00351492050614815,0.00453942802073322,-0.774309117821504,0.438778773790347,-0.0319907040167048,0.00783172115964826,-4.08476034380949,4.47016985171535e-05,-0.00623787082676913,0.00817338972923414,-0.763192632850707,0.445378774374312,0.0228176496480601,0.00754526811916781,3.02410057372178,0.00250437156190411,0.00397347573585527,0.00739550616338516,0.537282458843424,0.59109260823712,0.0171690424762538,0.00465059943563737,3.69179128709475,0.000224673020004819
"FR",0.00899623420149811,0.00602451131577253,1.49327202323372,0.135419009667371,0.0165035540061545,0.00629689210255463,2.62090468398833,0.00879197681261489,0.00428235101719462,0.00744900244568577,0.574889194683353,0.565387970610709,-0.030039434931084,0.00762224372190932,-3.94102262103465,8.20645808238678e-05,-0.0274017323476564,0.00777249677394989,-3.52547362123011,0.000425908118139352,-0.00672382368634501,0.00535736452325601,-1.25506182324486,0.209505600929273,-0.00448235849801172,0.00692748769967052,-0.647039546273739,0.517631305371966,-0.0148154676323875,0.00719671186191904,-2.05864399140149,0.0395717873250783,0.0265777041861209,0.00795261544570306,3.34200796801778,0.00083687585057604,-0.0182514768613487,0.00670219470154733,-2.72320898960679,0.0064839694181667,0.0204746445132418,0.00665343946626096,3.07730229110327,0.00209833087691116,-0.000109472170869065,0.00725159418732413,-0.0150962902833729,0.987955866609219,-0.0577636973306148,0.00874325880274959,-6.60665532540901,4.27231982457376e-11,0.00128792055928639,0.00974569006297845,0.132152833813061,0.894867874690803,-0.0026279354788515,0.00633800149960282,-0.414631564700037,0.678426582914754,0.00933768743602604,0.0072514559540444,1.28769829055061,0.197901081552258,-0.0120443790738793,0.00831613245795316,-1.44831496308847,0.147581668098339,0.0261909273479865,0.00814215946188854,3.21670528200532,0.00130365793870969,-0.00268393594957651,0.00571005279926942,-0.470036975826197,0.638345824162201,0.0579246151025306,0.00921384834196428,6.28669074557198,3.47334705006544e-10,0.00374665555207293,0.00355472133464088,1.05399416701434,0.291928378265003,-0.0273498974792894,0.00763094067403931,-3.58407942710584,0.000340977562561916,0.010789875767819,0.00765065271171581,1.41032094572741,0.158497201390577,0.0116761869440587,0.00699360010281184,1.66955313034901,0.0950604057844237,0.00429589318547933,0.00494669985409617,0.868436192246852,0.38519060911801,-0.0229557625267945,0.00810809080714211,-2.83121675284811,0.00465268867664275,0.0189177939631092,0.00885800873841937,2.13567117867677,0.0327469274083356,0.00213887767728099,0.00618860486956475,0.345615485616133,0.729643922847455,0.00667637859048085,0.00706549577446755,0.944927122397716,0.344734446150814,-0.00221634736538119,0.00472206446906502,-0.469359827656066,0.638829653360855
"DE",-0.000874945408867563,0.00611946028166423,-0.142977545174885,0.886312755916436,0.00842318334060689,0.00587685360050548,1.43328112510449,0.151830046689494,-0.00863186512675008,0.00655530547766408,-1.31677542048368,0.18796461952793,0.00605141264945245,0.00791153489935546,0.764884782337931,0.444370486325387,0.0953352636336251,0.0115171250177221,8.27769634235342,1.53603256838998e-16,3.84460780384377e-05,0.00550784610857311,0.00698023824205896,0.994430854873676,0.00678138695387718,0.0068114185767707,0.995590988491598,0.319489394181117,-0.011502484154121,0.00729022495045881,-1.57779550456767,0.114665747842075,-0.0129162282702053,0.0069544496829479,-1.85726101403473,0.06332339641969,-0.0239351765502608,0.00618526713326631,-3.8697078128655,0.00011013079907766,0.000183208781351308,0.00626208106502108,0.0292568523864504,0.976660720022703,0.0026678433048814,0.00627528201538506,0.425135204814806,0.670753486869479,-0.0125977970002482,0.00890596021412144,-1.41453551300093,0.157257045471283,-0.0121851773417973,0.00803811484542661,-1.51592476297228,0.129591490553976,-0.00527125066909876,0.0057825111877734,-0.911585035969208,0.362024126652641,-0.00829047960151459,0.00645687414629791,-1.28397726417945,0.199199897550318,-0.0189631789741574,0.0073245385636858,-2.58899298696776,0.00964913586471279,0.0113826902889589,0.00875839345736429,1.29963221501405,0.193777393462278,0.0112417825950606,0.00542654368702516,2.07162850673066,0.03834308482161,0.000844211980122163,0.00804972310681288,0.104874660770339,0.916478800227489,-0.00173104551733868,0.00328960083073072,-0.526217497626956,0.598756707785666,-0.00711675453509788,0.00796237079309035,-0.893798432656981,0.371465892291967,-0.00934545514703271,0.00619078721309285,-1.50957460260758,0.131205095503517,0.000786844555116452,0.00743624525761867,0.105812076909419,0.915735020918072,-0.00581944510563985,0.00401692002745244,-1.44873312534693,0.14746481309564,-0.0146192888303581,0.00855973901916601,-1.7079129162261,0.0877046567652281,-0.0101272847656261,0.00715495898839987,-1.41542177698645,0.156997196802508,0.0075237082099781,0.00591047029996348,1.2729457772632,0.203087009514839,-0.00324654065951189,0.00606289561606606,-0.535476918142691,0.592340124225557,0.0162463614734388,0.0058265280024405,2.78834349832934,0.00531465720065525
