"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19"
"(Intercept)",0.0262939818998167,0.0034332732036403,7.65857545852663,2.18088766224075e-14,0.0528899513090881,0.00446174478297133,11.8540960726726,4.69098559347937e-32,0.0252878592839729,0.00350703634644086,7.21060655947762,6.26295222893221e-13,0.0592525332424384,0.00489646836555972,12.1010754729271,2.55943025028082e-33,0.0449576762210159,0.00429732375483005,10.4617847725541,2.14650347147085e-25,0.0682337177792549,0.00443440296663368,15.387351644105,2.0119809124502e-52,0.0317419718513131,0.00395475409150398,8.02628206884079,1.20094920800606e-15,0.0471287220397964,0.00375313287683274,12.5571685273153,1.02654934656394e-35,0.033187767016138,0.00371730522487123,8.92791014148901,5.69329220237817e-19,0.0618345768827904,0.00474519729373258,13.0309812332695,2.71463945060847e-38,0.0579343346087979,0.00423416089435827,13.6826011231627,5.5402112728637e-42,0.0524928870013756,0.00384780016505971,13.6423111257289,9.47430312268634e-42,0.0641447509601871,0.00555766190904085,11.5416792187089,1.71373246857727e-30,0.0957726245218279,0.00600732018216167,15.9426535655979,4.57874782265685e-56,0.0373803882238333,0.00335494525464668,11.1418772547959,1.50079353596327e-28,0.0450323020769634,0.00445950249476849,10.0980551372696,8.75168911085137e-24,0.0606942973426691,0.00406838620856776,14.9185190960609,1.93700989074455e-49,0.0716641816809985,0.0046236269347063,15.4995596948071,3.77598698921832e-53,0.0402885354586656,0.00400015545652268,10.0717424351523,1.13892030816916e-23,0.0237769872740821,0.00240917095215535,9.8693649169272,8.45130175182019e-23
"US",0.0333463701720037,0.00408575828247048,8.16161110535414,3.9996792778813e-16,-0.00690380385391215,0.00481003845853326,-1.43529078060996,0.151256799140061,0.0379437616679031,0.0041299441635684,9.18747570551136,5.44757994288419e-20,-0.0258644439987362,0.00536292431826982,-4.82282472467942,1.45062052346434e-06,0.00148999458018811,0.00484400691943874,0.30759546899259,0.75840093063493,-0.0283437759876076,0.00508469244438835,-5.57433439634855,2.59391766203055e-08,0.0243337478653324,0.00482348096645469,5.04485205488807,4.6733521259972e-07,-0.0151538102046078,0.00426523998517518,-3.55286226737026,0.000384016034405583,0.0222170457490312,0.00442474631019936,5.02108916342149,5.28754566375648e-07,-0.0113331164311587,0.00526605042863526,-2.15210936255615,0.031428832598934,-0.010199197195277,0.00483400398914112,-2.10988596993051,0.0349098084980211,-0.00984975995580365,0.00464831314754045,-2.1189966431189,0.0341320522096503,0.00213732925037795,0.00633269840862291,0.337506875026238,0.735746731941841,-0.0398269560342716,0.00652069505015909,-6.10777773349482,1.07414657555933e-09,0.0140961330226307,0.00406885313387721,3.46439956391311,0.00053516285051621,-0.000911119019154782,0.00542975044789558,-0.167801269671225,0.866745324575279,0.000121172167079203,0.00490859156169191,0.0246857302255225,0.980306464778434,-0.00459781806109071,0.00562216015603069,-0.817802754366362,0.413502561106659,0.0158368178463551,0.00471468453864996,3.35904082585554,0.000787049478451489,0.00130695811946095,0.00277680994041308,0.470668914152088,0.637894433864162
"JP",-0.0111390481964922,0.00525852705356002,-2.1182829493957,0.0341924391128878,0.00691852822120712,0.00706772385292122,0.978890568616029,0.327673837805319,0.00163869129821224,0.00571354679302075,0.286808064688286,0.774269270680735,0.0337040146433352,0.00696974218085701,4.8357620366369,1.35972223199039e-06,-0.00932785399360668,0.00626104077164889,-1.48982482846061,0.136323287002506,-0.00793039584018364,0.00645571459558364,-1.22843036549491,0.219334025129817,-0.00849941421784236,0.00611222461731267,-1.39055986158756,0.164410923872655,-0.0198250761723768,0.00537971059374045,-3.68515663192817,0.000230593371336558,-0.0149188836077981,0.00574855460299596,-2.59524082802011,0.00947566918034301,0.0316688220857539,0.0073126111873729,4.33071323967534,1.51067713710032e-05,0.00602023911816621,0.00615764947448191,0.977684608894165,0.328270071320712,-0.00641947978792092,0.00578731181454735,-1.10923343922553,0.267374305805424,0.00828138896468985,0.00855009866780921,0.968572327225762,0.33279797111254,-0.0307064551567342,0.00793917699966715,-3.86771263041768,0.000111033034432228,-0.0116637926945452,0.00513386994443647,-2.27192991267439,0.0231262714836747,0.0158403361122219,0.00728468743213378,2.17447025144112,0.0297090950875539,-0.00497218788904346,0.00656007895270556,-0.757946348647648,0.448513109536757,0.026228329713649,0.00711577557135248,3.68594111079642,0.000229885753041932,-0.00375518104129806,0.00606032187010744,-0.619633927336518,0.535522543216189,-0.00119723114119383,0.00391655343737734,-0.305684873278669,0.759855281947111
"DE",-0.00897450340083271,0.00675141415277173,-1.32927757026257,0.183807359184424,-0.0010619070132961,0.00912377060783029,-0.116389052173752,0.907348138175443,-0.00568911604538564,0.00695383840160885,-0.818126007079687,0.413317990738544,0.095996228108267,0.0127415837588471,7.53408916231567,5.65193150444031e-14,-0.011977183229801,0.00836232619160023,-1.43227888453237,0.152116536939224,0.0130746079198979,0.00899510784724889,1.45352430920511,0.146130957173336,0.00279318696057832,0.00786217305984583,0.355269076286791,0.722400608541116,-0.0231326056063441,0.00708319824801363,-3.26584189745518,0.00109756922648602,-0.0162496984141127,0.00735406829092639,-2.2096202770053,0.0271694554184301,-0.0152159861933839,0.00925560627134648,-1.64397509436952,0.100234160486827,0.00315525564294625,0.00892326074609935,0.353598951406358,0.72365198400843,-0.0129129539253811,0.00737753341109557,-1.7503077527186,0.0801167460683512,0.00110720336481601,0.0105839815344302,0.104611233609415,0.916687825307029,-0.0137670307966401,0.0126109285299769,-1.09167463473567,0.2750203253362,-0.0092082527180018,0.0065451647697049,-1.40687867181333,0.159515580996783,0.0198709777944305,0.00964708458648455,2.0597909779157,0.0394619130152409,0.00168247995193062,0.00884180323676993,0.190286970528114,0.8490907524861,-0.0160493202205823,0.00939772015386646,-1.70778869319483,0.0877277052539463,-0.0152036393745587,0.00752514779387219,-2.02037751164691,0.043388947329284,0.0116619739734515,0.00592077819736038,1.96966911860517,0.0489226043518767
"FR",0.000802593234475714,0.00716575977578819,0.112003926950989,0.910824069773247,0.0308305951118341,0.0098665847069077,3.12474843399959,0.00178812947331846,0.0167997936105877,0.00755985840485469,2.22223654345158,0.0263047703980453,-0.028994804680372,0.00938212577582996,-3.09043018321794,0.00200789683314208,-0.0264650915610337,0.00800798967514686,-3.30483587449785,0.000955941323587511,-0.0403603367810214,0.00893960891413734,-4.5147765599896,6.46052212046698e-06,0.0239074076817463,0.00866515207742587,2.75902920896552,0.00581505357865675,-0.0152146374801143,0.00736266547258068,-2.06645779803186,0.0388284301074469,0.0242773074669231,0.00788134150894691,3.08035217600499,0.00207699287019493,-0.00977751723866514,0.00921213961183124,-1.06137310664591,0.288563437863643,-0.0203405408867292,0.00845865110675713,-2.40470266831083,0.0162159774159563,-0.0185545134851828,0.0079227802385951,-2.34191949371462,0.0192176491912596,0.0127422905951905,0.0117175959768909,1.08744921913339,0.276882362768025,-0.0715673106557651,0.010184629140107,-7.02699231078857,2.34618167291435e-12,-0.000717355412436519,0.00716464971957425,-0.100124282486087,0.920249029676946,0.0241360773913503,0.00963467288106393,2.50512681533668,0.0122672563905224,0.0270952453018419,0.008946998986553,3.02841716452243,0.00246892331447431,0.0577840786657376,0.0103657884830461,5.57449910928116,2.59147753802928e-08,0.0218000176390298,0.0084125934843576,2.5913551724049,0.00958321894094262,-0.0081877061919022,0.00484319634001995,-1.69055838687483,0.0909735381452799
"KR",-0.00963854242716238,0.00705510916583643,-1.36617906266227,0.171934380188178,0.00560921056467022,0.00878344653119809,0.638611568334453,0.523100225236061,0.0310006430147679,0.00845698543570542,3.66568480582727,0.000248826649460638,-0.0271740966078425,0.00969114957196953,-2.80401168159041,0.00506345972875496,-0.0166556720953831,0.00850964026020385,-1.95727099925421,0.0503622868874215,-0.0409932331580304,0.00886416476379351,-4.62460189430041,3.83256444144404e-06,0.0186003645780878,0.00867618459823943,2.14384149708642,0.0320859847492282,-0.035369008217848,0.00683159100469468,-5.17727249677891,2.32544757169216e-07,0.0243537699029364,0.00859439013371744,2.83368214893944,0.00461699433768161,0.0134077661145277,0.0100719519490366,1.33119837965571,0.18317472962943,-0.030301288815692,0.00767659097456943,-3.94723242596517,7.99709072096356e-05,-0.0257013177694306,0.00768982566472402,-3.3422497323095,0.000836147738131312,0.0972733866110148,0.0122453184763191,7.94372043480364,2.32869531846531e-15,-0.0459703222850349,0.0104617217083928,-4.39414501421459,1.13140669859361e-05,-0.00223245763967688,0.00678454358859405,-0.329050526468724,0.742129075156223,0.0156712950230106,0.00996616042294376,1.57245060865493,0.115899237181435,0.0025276130933738,0.0087299325821247,0.289534090853039,0.772182780487762,0.0244672498335737,0.010625529607299,2.30268520608765,0.0213308907579009,0.00778907751898833,0.00815453246381591,0.955183826117658,0.339523535314157,-0.00663728200020811,0.00536408481032264,-1.23735590224735,0.216003794852099
