"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19"
"(Intercept)",0.954585508782664,2.36353368498566,0.403880644835598,0.68631532122755,3.71214060454643,1.4864193733094,2.49737097834081,0.0125391910527921,-9.49900468167526,2.25194074588093,-4.21814148487259,2.50062042661602e-05,5.58908567877635,1.98600799916465,2.81423120205317,0.00490581155364742,4.68127336762685,2.20914376934625,2.11904423450547,0.0341289437244281,3.96193214127014,1.86073545000093,2.12922913962228,0.0332771444924433,2.74130754873302,2.75780600440567,0.994017543059125,0.320255629978967,-6.40359702879546,2.4767473317957,-2.58548659630641,0.00974823961304604,3.98917331103685,1.95474490951901,2.04076413838491,0.0413192814901898,-3.33835662855678,1.58798983425934,-2.10225314831051,0.0355739370460355,4.21954128034941,2.487986129314,1.69596656132196,0.0899456673190944,1.67375157907927,1.65030434172892,1.01420782625208,0.310525733576666,-1.23946098478051,1.67105970144693,-0.741721545739686,0.458285976548551,9.30482061676929,2.11465995585994,4.40014981651527,1.10106604683801e-05,-5.47033493089502,2.12363016723913,-2.57593577981935,0.0100213470787703,4.62827536809844,2.00864487185929,2.30417802217786,0.0212476831456472,-2.32620399148404,2.41921533521933,-0.961553094352033,0.336314068733004,-15.2454290973156,2.23399893378283,-6.8242776962747,9.73280127654542e-12,2.67880175990895,2.77388758426404,0.965721096667904,0.334223864908323,-3.62899243371929,1.79990314741399,-2.01621539410787,0.0438232893109545
"year",-0.000445059437220918,0.0011704416709394,-0.38024913865525,0.703774355300328,-0.00182163323978949,0.000736218050693777,-2.47431211184359,0.0133775863889158,0.00472196587479515,0.00111526046644135,4.23395791107194,2.33148464189473e-05,-0.00272641486410107,0.000983517650992169,-2.77210567736194,0.00558719355843797,-0.0022931775687011,0.0010940695139459,-2.09600719101519,0.0361246105955671,-0.00194441298669415,0.000921608142355924,-2.1098044790746,0.0349177553405165,-0.00131554425697151,0.00136554392853602,-0.963384794498618,0.335394458769037,0.00319391341651987,0.00122640425605784,2.60429087777826,0.00922984676996469,-0.00196154828171138,0.000968195519075675,-2.02598363973431,0.0428119670525752,0.00166942738948941,0.000786351889949753,2.12300295939529,0.0337956723740526,-0.00203232682890876,0.00123208639766737,-1.64950025644016,0.0990991288302959,-0.00081254735875871,0.000817248375954925,-0.994247749723917,0.320143579398797,0.000632113671334055,0.000827631900984692,0.763761849418787,0.44504011974611,-0.00459445692043726,0.00104729965065502,-4.38695545975188,1.16976044105432e-05,0.00272893330689534,0.00105149231290518,2.5952955370216,0.00947467687959815,-0.00228203777995077,0.000994724001253517,-2.29414166851813,0.0218177935882686,0.0011913839033978,0.00119793828916166,0.994528611512659,0.320006907718534,0.00757387520924514,0.00110651890688217,6.84477704098701,8.44567358843849e-12,-0.0012934708098083,0.00137366131759731,-0.941622795399621,0.346424856341808,0.0018192040301017,0.000891721491677145,2.04010338102331,0.0413850574205288
"US",0.0256438210527328,0.00671545718702824,3.81862624368555,0.000135591288083017,-0.000860977521187929,0.00386052854462988,-0.223020633375598,0.823527270351165,0.023200191665944,0.0060290043239495,3.84809670375985,0.00012031246845353,-0.0454231692298544,0.00613289912503597,-7.40647584507401,1.48155329561253e-13,-0.017520655965041,0.00592701176953857,-2.95606903551079,0.00312837249886692,0.018840867032744,0.00497996344142594,3.78333440683838,0.000156293679254911,-0.00983494592542368,0.00761147846375731,-1.29212031174411,0.196366758881466,0.0205261021665283,0.00706491205416714,2.90535848276006,0.00368214371366837,0.0250653363974372,0.00460804536831543,5.43947257329204,5.5617129602669e-08,-0.0104900337752856,0.00426043706646023,-2.46219662716465,0.0138376506500285,-0.0758358374254657,0.00808873485885823,-9.37548810150645,9.63408495974852e-21,0.0116414733043744,0.00437296224724786,2.66214813807301,0.0077857045648169,0.000925901988257057,0.00515732493808294,0.179531443019999,0.857526677011177,0.0422233195303058,0.00505018786649872,8.36074234196343,7.72006644222204e-17,-0.00441237280141763,0.00587577346961788,-0.750943313970983,0.452717116399111,0.025012468382282,0.00560931155878367,4.45909771995366,8.38513839357692e-06,-0.0427938723108799,0.00719363054580805,-5.94885601065754,2.85731736594284e-09,0.0169494596835714,0.0053450144559497,3.1710783615757,0.00152662293309303,0.0125542297896902,0.00697087202665018,1.8009554244712,0.071761625910074,-0.0153822218627107,0.00485679045472607,-3.16715781874891,0.00154731946466474
"JP",0.00243882799808688,0.00793388274855384,0.307394005606072,0.758554483208525,-0.00102283143079502,0.00484745186495592,-0.211003937592338,0.832891582307372,0.0382648857025411,0.007268759702606,5.26429367156302,1.45772566145247e-07,-0.0320606364516046,0.00686121916747189,-4.67273172144096,3.03909317975454e-06,0.0190205619100452,0.00740080955849334,2.57006503946812,0.0101925854193722,-0.00333042941988928,0.00572710248333282,-0.58152083528828,0.560911989493733,-0.0455263599415743,0.00901259860383033,-5.051413243038,4.51920955333598e-07,-0.00644359315897011,0.00789208326050418,-0.816462896586125,0.41426883529995,-0.00958475637845223,0.00525832362229382,-1.82277795490098,0.0683882830555009,0.0531334580418049,0.00536546646019415,9.90285904049474,6.13621637383516e-23,-0.0507758245412907,0.00940942400648626,-5.39627340698953,7.07271825503457e-08,-0.00600837845926528,0.00498339640356921,-1.2056794147385,0.227990114530997,-0.00550283011672992,0.00547170957353253,-1.00568753563748,0.314607689036363,-0.00987872894760458,0.00574221120495834,-1.72037018406331,0.0854183018030095,0.0380024739322632,0.0068875844043035,5.51753295517054,3.58619104507598e-08,0.0204537115660923,0.00642954285503403,3.18120775104221,0.00147432499027628,0.031494700748677,0.00938074202382306,3.35737841086493,0.000791897881083439,-0.012250262150317,0.00624366307114721,-1.96203126445549,0.0498064051241663,-0.0228831673691371,0.0081697470962032,-2.80096398330027,0.0051118276603361,0.0026260164407034,0.00550078674769068,0.477389246512026,0.633102887366296
"KR",-0.0250964227579128,0.0095045943199319,-2.64045175555611,0.00830165224615681,-0.0126905190483702,0.00554064166573474,-2.29044212096457,0.0220312785939794,0.0227547094930503,0.00907026576861785,2.50871474701206,0.0121440857426194,-0.0473838318236268,0.00872404573369434,-5.43140571129964,5.81779702984683e-08,0.0161701206812155,0.00945534205813507,1.71015713464361,0.0872900907744854,0.00222332632260494,0.00736118210213221,0.302033870614469,0.762637029534506,0.102302074701904,0.0122254158678121,8.36798320875543,7.26555371882278e-17,0.0457463791667303,0.0101701841157271,4.49808761042866,6.98993503632057e-06,0.000212700273822256,0.00662412354086159,0.032109949717905,0.97438546926836,-0.0143194690722586,0.00618034126767755,-2.31693824856367,0.0205416171778056,-0.0786494089613173,0.00988758546428323,-7.9543594586789,2.14712461910724e-15,-0.0112502534623409,0.00611984014461652,-1.83832472687011,0.0660654733160784,0.00609658423842771,0.00678834778360764,0.898095447194031,0.369171798112245,-0.0140719406793772,0.00689779557101254,-2.04006345715919,0.0413890345322596,-0.0204931150361921,0.0079233903825451,-2.58640733912815,0.00972226472192787,0.0302195902224579,0.00807771709554512,3.74110529807042,0.000184974486950155,-0.0611983500124798,0.00936996107247154,-6.53133449959333,7.07115655454477e-11,-0.00497978533234801,0.00754304084312325,-0.660182734777039,0.509162682971517,0.0131622845791835,0.0103529008230022,1.27136198870363,0.20365067872948,0.0512891877582069,0.00824800738822934,6.21837315900095,5.37245227453747e-10
"FR",-0.0139749237537174,0.0137472858001729,-1.01655875616855,0.309405617660102,0.00244665144625587,0.008918652936257,0.274329706934721,0.783840988241474,0.0352141012877404,0.0133664323717916,2.63451759663679,0.00844799789142948,-0.0464430927670713,0.0125590900178986,-3.69796638935487,0.000219334097701068,0.135774222554073,0.0157563299001447,8.61712235111465,8.73708445932415e-18,0.0292447258414759,0.0116447447651948,2.51140977592622,0.0120518555485202,-0.0265367112605564,0.0162275213509879,-1.63529048500934,0.10204221663204,-0.0133065224422305,0.0141915946867865,-0.937634052825642,0.348471392210781,-0.00292336212928673,0.00925218239053519,-0.315964602284243,0.752040700332621,-0.00125878414499154,0.00879743181324047,-0.143085410801027,0.886227677671524,-0.0867577203077611,0.014063963100936,-6.16879607014802,7.34423503667012e-10,-0.000163727901763505,0.00917251942832894,-0.0178498288330508,0.9857592649628,-0.00688768624320584,0.00970768424664674,-0.709508680773688,0.478037274399247,0.0130991946787507,0.0111249782258827,1.17745800600984,0.239060871904074,-0.0255257856784901,0.0109551188265335,-2.33003275296898,0.0198384183114662,-0.000978146378334106,0.0116523394513211,-0.0839442055752337,0.933103678189044,-0.047119301331262,0.013921889851609,-3.38454777573292,0.000717665946752817,0.0138783639242915,0.0119108055433796,1.16519104217981,0.243989399440066,0.0470789030227856,0.0152756633880956,3.08195472934251,0.00206607018896799,-0.00421356205185372,0.00935025521979048,-0.450636047124726,0.652268660081654
"DE",-0.0487007712538812,0.0141560369507815,-3.44028285763925,0.000585186302847754,-0.00197327739111776,0.00882101816628044,-0.223701771600571,0.822997214879562,-0.0120716472056816,0.0132001386345403,-0.914509122964374,0.360487252227203,-0.00749547117399989,0.0154118691976791,-0.486344068838104,0.62674154141351,0.0834398258443151,0.0162624961067175,5.13081296356768,2.9784079387086e-07,0.00829528639145281,0.012122295798161,0.684299948588222,0.493813011969692,-0.0710866699133098,0.0164292506535406,-4.32683580111977,1.53797210010685e-05,-0.0144602014715876,0.015435695749918,-0.936802701080998,0.348898906304625,-0.00667479555202399,0.0105184283076716,-0.634581075877631,0.525726603915177,0.0028895830408307,0.0102999302494554,0.280543942613929,0.7790701834241,0.100001063391574,0.0230683935674171,4.3349816752225,1.48228600109216e-05,-0.0193882415214634,0.00943262637191102,-2.05544466164787,0.0398805738299635,-0.00262176424582284,0.0105770083472194,-0.247873893993104,0.804240719191827,-0.00398548581275831,0.0113997855469984,-0.349610595421043,0.726643601088692,0.0135986178052356,0.0130673094974567,1.04065934979824,0.298076881497955,0.0030000190247108,0.0122732276745767,0.244436028097577,0.806901753735931,-0.00506595720210944,0.0154762997723865,-0.327336461338669,0.743425184656265,-0.000602769319446859,0.0139622716987665,-0.0431712927846914,0.965566468993738,0.000292139296060063,0.0160883160977663,0.0181584756468468,0.98551305092417,-0.0175614497769113,0.0104841724911522,-1.67504395713938,0.0939793021870995
