"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14"
"(Intercept)",0.227355928162654,21.6558726219811,0.0104985807836662,0.991627277791835,-0.130974201615012,18.3300247642234,-0.00714533686122712,0.994301466755936,0.136566028122717,20.8129455764973,0.00656159060334699,0.994767007788882,0.0392593455733905,12.6211439063888,0.00311060121527633,0.997519223061347,-0.306852997916182,15.9606224427405,-0.019225628512737,0.984668034802426,0.115758876138157,18.2327439322202,0.00634895529540086,0.994936586134878,-0.14592245935584,20.2755369972864,-0.00719697137369873,0.9942602880235,0.292587019466763,21.7876865632793,0.0134290081058852,0.989290358344737,0.420653519698249,21.2159983250605,0.0198271848089925,0.984188370490648,-0.0040687467900476,24.1915604795678,-0.000168188686855652,0.999865865387776,-0.340211565545177,20.1993905784773,-0.0168426648429521,0.986568196888179,-0.268858691848277,17.1588895644975,-0.0156687698721809,0.987504283023906,0.127003431338449,16.8692500426858,0.00752869457842412,0.993995737797042,-0.0474372551448185,15.8154676537927,-0.00299942159051127,0.997607891130993,-0.199786621476779,14.5418602526445,-0.013738725170354,0.98904337420122
"US",-0.169389033107414,21.6558678718504,-0.00782185383240153,0.993761942984154,0.215901232186288,18.3301969363479,0.0117784458582748,0.990606617428954,-0.0746482241747466,20.8127442112032,-0.003586659376449,0.997139557109536,0.00980807706869079,12.6212417581462,0.000777108723264911,0.99938023674968,0.366138967491197,15.9606644013665,0.0229400830870079,0.98170632714239,-0.0347997415592813,18.2327012807546,-0.00190864431021058,0.998477810162518,0.222114504527044,20.2755245632928,0.0109548092742894,0.99126344532691,-0.201823608184175,21.7876304452599,-0.00926321972879265,0.992612460362198,-0.345140793305725,21.2157480402218,-0.0162681416017664,0.987026330391392,0.0848512907674182,24.1916753701383,0.00350745822557444,0.997202721576509,0.393022122987743,20.1994377525672,0.019457082311006,0.984483479293735,0.340234396475779,17.1589185056274,0.019828428951638,0.984187378451677,-0.0509710087907353,16.869247468521,-0.00302153423772163,0.99759025583124,0.10357779407165,15.8155256223161,0.00654912119553579,0.994776952234127,0.225610285910345,14.5417890728721,0.0155146168590235,0.987627208872215
"JP",-0.113970072097655,21.655382449464,-0.00526289814385041,0.995802728747633,0.146477846674701,18.3298710663311,0.00799120987510686,0.993626881605717,-0.0467305045902846,20.8129366629905,-0.00224526242245193,0.998209349523257,-0.00798867385789591,12.621255041196,-0.000632953999568245,0.999495203657294,0.361290142911218,15.9603598613213,0.0226367165935134,0.981948206451761,-0.0727309711757617,18.232655110822,-0.00398904990708633,0.996818643076718,0.18916997865488,20.275710722934,0.00932988151388983,0.992559298251132,-0.239568034863026,21.7873745807668,-0.0109957275473892,0.991230813967035,-0.362421375739691,21.2158596953748,-0.0170825684626252,0.986376895426952,0.136991270374958,24.1919516693362,0.00566267956580772,0.995483898002623,0.420454268930421,20.1991456094028,0.0208154481907739,0.98340036919372,0.306105995333325,17.1589971598227,0.0178393872603501,0.985773406013767,-0.0187701136908299,16.8693546111168,-0.00111267526965499,0.999112614299632,0.088933843556751,15.8156744815241,0.00562314580137849,0.995515426648846,0.297781675396169,14.5418180862442,0.0204776097204692,0.983669746153959
"KR",-0.192109722202587,21.6564937666418,-0.0088707675523403,0.992925437731263,0.189495262413788,18.3298567800598,0.0103380656318019,0.991755285611931,-0.0736931215103617,20.8133741236251,-0.00354066193557311,0.997176240966168,-0.00879214943100157,12.6213594008506,-0.000696608752810653,0.999444437437813,0.33775246637837,15.9603814921508,0.0211619294027823,0.983124102877594,-0.099076022819166,18.2327630502879,-0.00543395548693873,0.995666308265804,0.204588342057664,20.2757637902832,0.0100902902684095,0.991952882229094,-0.268842124608344,21.7883024083507,-0.0123388284029556,0.990159731128715,-0.288357358842895,21.2161981524523,-0.0135913775300767,0.989160876575789,0.0839232671672356,24.1914053916946,0.0034691356623724,0.997233284576575,0.50077618816057,20.1989966044366,0.0247921319047391,0.98022969424456,0.34003879315614,17.1586921280858,0.0198172908877802,0.984196259583222,-0.0380378634218275,16.8689885064903,-0.00225489888781373,0.998201664224699,0.136716082486694,15.815624419083,0.008644368307187,0.993105989758793,0.26066838632679,14.5419056011812,0.0179253251585965,0.985704879404393
"FR",-0.201474045787425,21.6560638671886,-0.00930335480274795,0.992580453035665,0.15946831338822,18.3301996361609,0.00869975867985794,0.993061816238822,0.0221293923094049,20.8133167527176,0.00106323238013064,0.999152046196249,-0.0185899627494405,12.6211117661443,-0.00147292592712058,0.998825305785259,0.329722030704064,15.9605321143979,0.0206585863391499,0.983525443432981,-0.0594357483518184,18.2328172314647,-0.00325982252754933,0.99740021600095,0.350663225731293,20.2757025089522,0.017294750974792,0.986207699698498,-0.26244961313193,21.7875653266922,-0.0120458440030654,0.990393375992105,-0.325268058157283,21.2156484387489,-0.015331516220037,0.987773218735184,0.0724530802989097,24.1916043128839,0.00299496797987568,0.99761144297899,0.409268069187861,20.1991917537718,0.0202616062155773,0.983841978459843,0.312317981256536,17.1588240518657,0.0182015958851549,0.985484582716224,-0.0725328746532707,16.8690234091058,-0.00429976726537222,0.996570840477176,0.16466407733388,15.8156519003478,0.0104114631740383,0.99169675242336,0.204766594392555,14.5421620954057,0.0140808906577412,0.988770515259551
"DE",-0.0869657639053408,21.6555089272353,-0.00401587255222468,0.996797251529411,0.138958077933235,18.3300811015484,0.00758087632910128,0.993954122757686,-0.0686500390414476,20.81243502205,-0.00329851067252416,0.997369361420336,0.0558542260280672,12.6209634284754,0.00442551207319475,0.996470556857497,0.340204554387758,15.9605874888447,0.0213152902188303,0.983001821488532,-0.0678298732879464,18.2325719443017,-0.00372025809058418,0.997033009562804,0.237547817925477,20.2755171840122,0.011715993025953,0.990656421655446,-0.205181772436138,21.787314175545,-0.00941748812097467,0.992489432903108,-0.399744720960967,21.216041431969,-0.018841626146083,0.984974230559756,0.0794178365429486,24.1916674121722,0.00328285914277199,0.997381843832416,0.37855588084769,20.199060678455,0.0187412616296296,0.985054259572548,0.329264349847835,17.15941600161,0.0191885522104565,0.98469759860148,-0.0641396852822802,16.8692148693085,-0.00380217370987281,0.996967680305395,0.0712325370310123,15.8156603198514,0.00450392431238568,0.99640802179332,0.345044950505895,14.541929683755,0.0237275903548997,0.981078442014298
