"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14"
"(Intercept)",23.2174967938351,19.3568575618586,1.19944555667877,0.230671471297893,-28.9347284094201,18.1488026365533,-1.59430508936953,0.111219984382653,-36.6292145625074,22.2412201956716,-1.64690670027339,0.0999274810580119,-38.0691330893788,18.0500356611703,-2.10908907904676,0.0352135132262394,24.1853602741116,16.633904732543,1.45397972773012,0.146301713832277,16.7916759985421,19.941021150869,0.842067007075527,0.399974895518172,-6.4416166959587,20.8691867772326,-0.308666397244872,0.75764697899684,29.847170594196,21.3859111002149,1.39564643537193,0.163166360031095,-17.6202653911656,17.2188182502356,-1.02331444208864,0.306435088579563,10.5052309747146,18.4033811076073,0.570831572377321,0.56825679137978,27.3279500048944,21.4285474729063,1.27530575926563,0.202531231379684,9.76023791655724,20.5521782107792,0.474900412815524,0.634973559807259,5.02381496874694,19.1630169597713,0.262162006081474,0.793256735684722,-24.050580765736,23.4088273985504,-1.02741501555201,0.304502051216472,6.81100850963264,17.9841595030231,0.378722648032994,0.704983453372236
"app_year",-0.0114882643639315,0.0095852825634498,-1.19853163304106,0.231026665552315,0.0143425209998906,0.00898634347643113,1.59603525477379,0.110833147431205,0.0181462697650178,0.0110137207505861,1.64760576157265,0.099783816722827,0.0188869165706231,0.00893787069338616,2.1131337897514,0.0348649772686656,-0.0119529129323306,0.00823695024531454,-1.45113331710724,0.147092358159045,-0.00830969002068089,0.00987486065392779,-0.841499471425519,0.400292459410668,0.00321668566418451,0.0103339281307188,0.311274243781757,0.755664471012282,-0.0147483142438547,0.0105907137476101,-1.39257037772198,0.164094826559005,0.00878429186819196,0.00852866753588648,1.02997236452586,0.303300614495652,-0.00519201373996402,0.00911293807649903,-0.569740921794859,0.568996084573951,-0.013523500997466,0.010611501892907,-1.27441912878567,0.202844967209673,-0.00467713462244382,0.0101773078489337,-0.459565013839477,0.645939833110105,-0.00247433941269885,0.00948968422626073,-0.260739910170207,0.79435293226973,0.0119816265935214,0.0115913026314124,1.0336738651833,0.301567255070561,-0.00335027497575332,0.00890571325896402,-0.376193896921295,0.70686171021094
"US",0.0609579049998083,0.0255257515794867,2.38809442338991,0.0171420100648927,0.0148153183790817,0.0249605538793668,0.593549263797727,0.552963259478202,0.0799567991732506,0.0304664400301913,2.62442212132484,0.00882718469139449,-0.00737870517235827,0.0264988097229336,-0.278454211698887,0.780727885297943,0.00894510419897531,0.0239902976372107,0.372863410627336,0.709338192978056,0.0507075679418652,0.0264194614050801,1.91932633161533,0.0552600407895477,0.0179188892964521,0.0288640247511761,0.620803559133656,0.534886585571122,0.0171669616052406,0.0292561620169163,0.586781054716417,0.557498406257702,-0.0686504475545524,0.032739661929036,-2.09685877952417,0.0362855839618678,0.0388102607974155,0.0251230074792342,1.54480950696268,0.122745053757977,0.0779893840324676,0.0293773631734748,2.65474418421886,0.00807748068466787,-0.280533029796643,0.0380165719833475,-7.37923003472079,3.6279689827984e-13,0.0338213810566624,0.0245376219682399,1.37834795484415,0.168439565000979,-0.0649720604558904,0.0345637848351509,-1.87977273801956,0.0604629781566657,0.0193987423391663,0.0246309411013443,0.787576173372749,0.431152710735252
"JP",0.00104181417662613,0.0318855971756061,0.0326735036790583,0.973942222265378,0.0195554482201102,0.0316251659361617,0.618350849433791,0.536501064678455,-0.00112658523964472,0.0381649273388473,-0.0295188624268123,0.976457341678257,-0.0664869096841821,0.0312985998185297,-2.12427744594567,0.0339199457961298,0.0810023760923756,0.0322537791273642,2.51140729191802,0.0121998214510026,-0.00351805906217724,0.0330722880095335,-0.106374831434799,0.915308745917165,0.0964258731360509,0.0404156009061903,2.38585771271514,0.0172459391558971,-0.0294371830161122,0.0354805893822581,-0.829670068300277,0.406946087070456,-0.0634799567232955,0.0382889269319642,-1.6579194511273,0.0976833644561508,0.0493020814747477,0.0346660084041472,1.42220243242223,0.155315117277649,0.0734376766291036,0.0371308172297135,1.97780932681266,0.0482559165429695,-0.116816587487493,0.0455878129737696,-2.56245210874027,0.0105558307454918,0.000381676303032742,0.0308156741815417,0.012385784610267,0.990120580479776,-0.0531735772580928,0.0450866238936869,-1.1793648019305,0.238565651014507,0.0115453529536731,0.0320127658249615,0.360648405601703,0.718447209919107
"KR",0.107255402177764,0.0362424367950844,2.95938716218747,0.00316357946974344,0.0779878030191745,0.0357939014110887,2.17880141433855,0.0296060813359318,0.0457459982716438,0.0437448057529145,1.04574697462443,0.295959584472265,0.0255278513580996,0.0349100251475651,0.731247005700886,0.464819266898254,0.00141161841761067,0.0320062351170405,0.0441044819063742,0.964830936143485,-0.00567523695179029,0.034834725823619,-0.162918949915842,0.870618945624714,-0.0439743499857358,0.0382656315220088,-1.14918657386965,0.250785381504829,0.0455751678704507,0.0426718392010965,1.06803851729174,0.285790483197911,-0.109443328969121,0.0368550225934373,-2.96956347514516,0.00306165474474069,-0.00595895478169853,0.0326347245656522,-0.182595528566841,0.855156652121431,0.113472538738014,0.041504491865794,2.73398212186119,0.00638061257026389,-0.301291243016161,0.0441885593936334,-6.81830879192614,1.69088828153117e-11,0.0805352959437066,0.0337029371832392,2.38956312637812,0.0170740662839799,-0.121058841816501,0.045015356799937,-2.68927873557742,0.00729357217607352,0.0880963456072065,0.0357881100827418,2.46160932788931,0.0140187415599326
"FR",0.0213831252034091,0.0632365959673344,0.338144785884028,0.735333206912942,-0.0040208361181642,0.0539263138620481,-0.0745616718481838,0.940580094916447,0.12737823644946,0.0794849242337232,1.60254586234376,0.109387009544458,-0.0666231968800528,0.0516334221031215,-1.29031147203441,0.19727504679205,0.208069184104022,0.0718026308314191,2.89779332170342,0.00384947073434426,0.0608353663024592,0.0713041869150021,0.853180843012456,0.39378678605747,-0.0153744351709288,0.0669153194896127,-0.229759572071017,0.818330982476408,-0.0273230583398588,0.0643445935869915,-0.424636427346753,0.671203564225349,-0.0489871413947117,0.0566906356664412,-0.864113461047506,0.387756571493683,0.0645283989023208,0.063321088422887,1.01906648337077,0.308446175771199,0.03737735147408,0.0685032665439556,0.545628746770733,0.585456815385831,-0.302645206174021,0.0628926406600347,-4.8120925278041,1.75178831433083e-06,0.00059891586779903,0.053806546379628,0.0111309107924048,0.991121476573524,-0.101784895648052,0.0740354067845682,-1.374813755589,0.16953250791043,0.0442188993910439,0.0585953756589925,0.754648278874166,0.450658122910328
"etc",0.025833769397428,0.0273559303547169,0.944357185533394,0.345241443497811,0.0475200252392368,0.0277848354737718,1.71028636408859,0.0875587274149284,0.0258337204940355,0.0334704849777356,0.771835858106627,0.440414938940399,0.00504322065898196,0.0275685169465075,0.182934057307746,0.854891097874773,0.0205600047087583,0.0261901577579219,0.785027906238534,0.432644490585021,0.0768797881373907,0.0291082265017451,2.64117046542775,0.00840572734866333,0.0252191800039673,0.032720635645238,0.7707423620188,0.441062613817285,0.00898409506576312,0.0317560494305748,0.282909720411042,0.777311315530492,-0.0785373498632172,0.0334070331432482,-2.3509226193913,0.0189425523745072,0.0339692096547056,0.0271613392879246,1.25064560678006,0.211389930373341,0.0167859541866042,0.0318025053321647,0.527818610869852,0.597755775110687,-0.237901653373546,0.0405119787902106,-5.87237800961311,6.04646619385104e-09,0.0158611277502699,0.0271689162113304,0.583796851773399,0.559503764246325,-0.00672426015958833,0.0388384612603524,-0.173134051694594,0.862585119158822,0.01947279915936,0.02771277603816,0.702665049959135,0.482446820710899
