"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","data$patent_title","data$year","data$country"
"1",0.100643487503849,0.240745799156499,0.0103829868439409,0.0331374593657254,0.0281912260397786,0.00919086816954878,0.02073122520046,0.035427892253349,0.0203918921396,0.0250554803830201,0.00800278945973825,0.215210253447366,0.0398829797899328,0.0243063236945758,0.114308527174335,0.00962803807321852,0.0165761706439172,0.0154110518418635,0.00917284375469805,0.0236027050645836,"High Yield ICF Target for Large Radiation Gains",2020,"US"
"2",0.215249059513467,0.00695703899450854,0.000999821748038279,0.00168996889500283,0.00522315049276931,0.00413798972912524,0.00200021983661448,0.702113283280549,0.0050807820234326,0.0239409720946503,0.000325886827039583,0.00226963005348629,0.0018798589303572,0.00621896118272741,0.0117167422536316,0.000699956697940441,0.000425901411278982,0.00461591793929656,0.00329802160660856,0.00115683648947668,"HIGH TEMPERATURE NUCLEAR FUEL SYSTEM FOR THERMAL NEUTRON REACTORS",2019,"US"
"3",0.0342852990571818,0.0389285596693528,0.0178175583995268,0.0371880637162253,0.0655843280435149,0.0157773902986291,0.00517581892488501,0.151459051212946,0.322144578251729,0.0352288748706806,0.0174103359676007,0.0175173428042547,0.0106648720649066,0.0308570051199592,0.148733611331765,0.00860690713605307,0.00857579022518943,0.0142967639039673,0.0106575535479699,0.00909029545366297,"LUTETIUM OXIDE-BASED SCINTILLATOR MATERIALS INCLUDING RELATED SYSTEMS AND METHODS",2021,"US"
"4",0.120329436778156,0.0129529121160965,0.0276370837355785,0.00311674448424794,0.00691675573242946,0.00793846313466272,0.326120117760483,0.00504228084125284,0.0127056822139004,0.00614102818967452,0.00143619386607483,0.164725953517721,0.0879940450541829,0.0547167473973285,0.00265326274238221,0.00855298194862934,0.007489097583728,0.0787485266736405,0.0132232565346651,0.0515594296951654,"ELECTRIC FISSION REACTOR FOR SPACE APPLICATIONS",2016,"US"
"5",0.0018141097749015,0.00630940705893801,0.00297176201121672,0.0351950079990128,0.00873869569080281,0.00345325792153006,0.0011065237999721,0.00332791941400268,0.90033639649777,0.00251676880121958,0.00455823721054644,0.00217157033628713,0.00103855746850785,0.00676578903200694,0.00317192909360468,0.00554532430361065,0.00166722688687116,0.00239990957916414,0.00379192428404613,0.00311968283598847,"TARGETRY COUPLED SEPARATIONS",2020,"US"
"6",0.0123686006387677,0.00908750369800881,0.0141406085428218,0.00185364664476392,0.0144321798481063,0.00335615696025857,0.539106023024355,0.00114928097045782,0.00715708217145205,0.0115565373589056,0.00088912721987764,0.137530849037659,0.0542480458104187,0.060591135838087,0.00165430352494124,0.00991902657752679,0.0109996092236845,0.01705458723956,0.00646826739896853,0.0864374282713796,"REACTOR PLANT AND METHOD OF OPERATING REACTOR PLANT",2020,"JP"
"7",0.00181284851629795,0.00347700990228116,0.00334217422933356,0.0124494282268874,0.00118447379139423,0.00915216282972659,0.000980193507310648,0.000237405778633663,0.00160957360722872,0.00360974451604574,0.0299526620997396,0.00668882236590663,0.00349913950253485,0.00131201718405509,0.0013037487433522,0.000308141088632805,0.810731128758193,0.010032607494759,0.0957761224218808,0.00254059543580586,"RADIOISOTOPE PRODUCTION",2021,"NL"
"8",0.00207043551493429,0.035295903501288,0.109961500293934,0.0729675214083379,0.149394414776446,0.00433517884353254,0.000547114125429293,0.00817069040241795,0.00915014204306213,0.0169293433459259,0.517318071099668,0.00906854774454913,0.00524428083665905,0.00271558574555265,0.0162115132177396,0.00529642780652601,0.0271559456937799,0.0023217233041752,0.00284503771573766,0.0030006225803042,"INORGANIC ION ADSORBENT AND METHOD FOR PRODUCING SAME",2016,"JP"
"9",0.0124703946631024,0.0445517252383123,0.0276022218442878,0.00683722721341166,0.186647666246045,0.00412214110067329,0.109420796367627,0.0031352994968658,0.00845103170717797,0.0203890007068004,0.0439568226465695,0.230178037179416,0.0511837120711736,0.115492258325347,0.0038283128536099,0.0149004424908784,0.0494077578965292,0.0135095571229706,0.0138050324862839,0.040110562342918,"NUCLEAR FUSION REACTOR, THERMAL DEVICE, EXTERNAL COMBUSTION ENGINE, POWER GENERATING APPARATUS, AND MOVING OBJECT",2020,"JP"
"10",0.0787110672111883,0.00512821334494729,0.00331360544145038,0.0182495883451983,0.00400472032143091,0.00323556799791595,0.000728788203453337,0.114560581663873,0.00497658969687831,0.0129386803161813,0.00294000626996683,0.00799025328780032,0.002611957799981,0.00861058852851298,0.719871240351281,0.000539499899708873,0.00223879804791657,0.00518981976177133,0.00323865622011716,0.000921777290427204,"FISSION REACTOR WITH SEGMENTED CLADDING BODIES HAVING CLADDING ARMS WITH INVOLUTE CURVE SHAPE",2022,"US"
"11",0.0035550412193031,0.001030430449506,0.0009868147967863,0.00288437968279361,0.000166106297668969,0.358544462632306,0.00936786451590671,0.000390519777130331,0.00410432533926559,0.00275959237592126,0.000779898864845916,0.000544831145513093,0.000978443147811869,0.00171067195061407,0.000295239932008154,0.00538521339231303,0.00169242517031717,0.0132786890421521,0.518277516497639,0.0732675337701976,"CONTAINMENT SEAL",2018,"US"
"12",0.0095819892610152,0.0285551195488204,0.00390471260829246,0.00815493294778452,0.00381237337736879,0.01994149648546,0.0194711950902874,0.00120658196890361,0.35736586935661,0.00723052867767174,0.00510918096210493,0.00388072500779099,0.00205096545583705,0.00837068348104529,0.00109121947693019,0.0163335094042425,0.00548595289953683,0.16567409508274,0.273442682743229,0.0593361861643296,"SEPARATION APPARATUS AND PROCESSES",2016,"US"
