"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19"
"(Intercept)",0.0549703117490242,0.00597417124801538,9.20132842982787,4.82968511902901e-20,0.0358335970214601,0.00343851480742538,10.4212426086049,3.30063030138944e-25,0.0278043525964114,0.00501933774387183,5.53944643999263,3.16720396377977e-08,0.0819674639708059,0.00547838229472924,14.9619832207889,1.07991705910776e-49,0.066680134138388,0.0058738984546735,11.3519385213979,1.48042359611031e-29,0.0402730454932175,0.00462815937765886,8.70174127702351,4.19836580542595e-18,0.0800609726768137,0.00657075209479416,12.1844457866922,9.65846200159831e-34,0.0461291860167147,0.00618080955623755,7.463291919448,9.67832164527007e-14,0.0268038556665621,0.00408016307629589,6.56930989407796,5.49350426189046e-11,0.035061629242169,0.00375425076917246,9.33918147665386,1.35135121323504e-20,0.116813307305806,0.00711896972306647,16.4087377598074,3.46809729966792e-59,0.0267213018692913,0.00369836433428668,7.22516752110233,5.64695396978048e-13,0.0340870408602604,0.00424564971613557,8.02869834756097,1.18238260697795e-15,0.026715439856154,0.00429506293003735,6.22003455859067,5.31618259624612e-10,0.0411260763989107,0.00498636267501859,8.24771062180256,1.97771341611003e-16,0.0182875650530824,0.00465707643858157,3.92683377527991,8.70654743519129e-05,0.084967323183768,0.00609680355129703,13.9363721446613,1.88711430507792e-43,0.0500492697542999,0.00471736524336052,10.6095812328168,4.64539329371002e-26,0.062818193059756,0.00617470591216196,10.1734712475985,4.139145103454e-24,0.0428714044356407,0.0042818205956055,10.0124242663601,2.07670598936787e-23
"US",0.0264265162519861,0.00656510212915034,4.02530162244503,5.762438920054e-05,-0.00255152172089087,0.0039285866568116,-0.649475738677394,0.516056535855257,0.0305379694530736,0.00595755296373199,5.12592496264503,3.05636256379337e-07,-0.0429807371202457,0.00603668045831403,-7.11992914268808,1.2101828513273e-12,-0.032713691970743,0.00631377355722586,-5.18132170472024,2.27735765201534e-07,0.0148044210539828,0.00505644451505506,2.92783219709107,0.00342656167824435,-0.0044046509454976,0.00759996605364523,-0.579561923620036,0.562232493559786,0.0191504638077717,0.00711585634988102,2.69123811192337,0.00713907013849467,0.0270514178915275,0.0047402074946306,5.70680037153849,1.20793933307728e-08,-0.0132929252275428,0.00429614356322821,-3.0941529378395,0.00198311290613863,-0.0766948708301534,0.00807755722878275,-9.4948099602274,3.13990913368162e-21,0.0180708912948163,0.00441370596818187,4.09426713629958,4.29239293924282e-05,0.00363644879500125,0.00504067960242581,0.721420340473776,0.470679895094522,0.044248804203574,0.00504081808514062,8.77809979574767,2.15450103554356e-18,-0.0067315725901713,0.00565624727453758,-1.19011285459079,0.234050548338663,0.0276980065627342,0.00547739539139833,5.05678421649659,4.39434022647214e-07,-0.0492192560619966,0.00681691923296519,-7.2201612458576,5.85687727566303e-13,0.0136922082748612,0.00531112038522021,2.5780263450559,0.00996098674628137,0.0176017253138528,0.00686311167618059,2.5646858370296,0.0103517646734713,-0.0144619563115003,0.00484818237848607,-2.98296457981358,0.00286654449399384
"JP",0.00346482574086635,0.0078445431364563,0.441686109770257,0.65873276073855,-0.0019389770012315,0.00477980396051345,-0.405660361230215,0.685007072901218,0.0415639660791224,0.00716327624608416,5.80236816943134,6.88277433970632e-09,-0.0280816276390442,0.00662767447320413,-4.23702578522512,2.29995812284165e-05,0.00508094750549031,0.00771878788834216,0.658257174441103,0.510398910394348,-0.00601647577809674,0.00590966196933803,-1.01807443628974,0.308684872278505,-0.0396690165336333,0.00877120229477524,-4.52264298558739,6.22834924939105e-06,-0.00985502942544945,0.00794324689692429,-1.24068023483765,0.214773874333905,-0.0065187615821545,0.00527917379841942,-1.23480715563981,0.216952098721632,0.0497416015995662,0.00530571144073932,9.37510495154916,9.66806653038308e-21,-0.05071366896586,0.00920148545263055,-5.51146542880876,3.7113692766685e-08,0.000769995083150282,0.00483502133414591,0.159253709536382,0.873474511822342,-0.00330222820302329,0.00542065293042864,-0.60919380845919,0.542419746111584,-0.00471204929230084,0.00566523096058916,-0.831748842206217,0.405584825913307,0.0347489221419356,0.00687446243989395,5.05478391157981,4.44044255617512e-07,0.0240632710261403,0.00630537163516438,3.81631288660957,0.000136864763585107,0.0266585727245399,0.00888178278017306,3.00148893351121,0.00269802023232625,-0.019453288164266,0.00625776028878575,-3.10866624263754,0.00188840158451603,-0.0184209283511494,0.00807451115480128,-2.28136762684339,0.0225626355493482,0.0026377612483062,0.00541347371918381,0.487258530314597,0.62609347045173
"KR",-0.0229559206370878,0.00927529588905945,-2.47495291920176,0.0133536289798273,-0.0138858064043564,0.00542790279175675,-2.55822680270629,0.0105458241582191,0.0277921193786795,0.00886394301669066,3.13541268556751,0.00172466567166465,-0.0440299934111848,0.00853595958637435,-5.15817735143315,2.57613698640959e-07,0.00193155215986125,0.0101609454041691,0.190095712852538,0.849240754563387,-0.00146101597450432,0.00754145074009535,-0.193731421825325,0.846392943044523,0.108048895246113,0.0122258499306781,8.83774100440968,1.27459905785299e-18,0.0424645452816038,0.00989735253190149,4.29049537689302,1.81161898197318e-05,0.00363254329844674,0.00665726178503228,0.545651262597768,0.585326577174328,-0.0176655144708282,0.00618608774134264,-2.85568443408371,0.0043096081093487,-0.0786710726208775,0.0101133572685502,-7.77892746511813,8.59385573830941e-15,-0.00478397994838749,0.00592635832641629,-0.807237714105687,0.419562506566636,0.00851589491061514,0.00684456333813098,1.24418381274569,0.213481990100532,-0.011178279680358,0.00692258973521863,-1.61475403106566,0.106418141479894,-0.0232659483979733,0.00793155265343362,-2.93334097554043,0.00336643035420462,0.0337242893518591,0.00793266379086012,4.25131963751138,2.15837045480489e-05,-0.0672889695376169,0.00918974950759208,-7.32217667979158,2.77070251812244e-13,-0.0116534895414042,0.00776822998181019,-1.50014733970178,0.133630446035028,0.0180232206045842,0.0103260144007121,1.74541889108166,0.0809647149924883,0.0521701028945789,0.00820441390482267,6.35878485651639,2.18817660852297e-10
"FR",-0.0128418882373937,0.0135924468648364,-0.944781198344468,0.344809785328118,0.00240605046795171,0.00889978003092561,0.270349431063576,0.786901019538741,0.0405511768219357,0.0132625741072791,3.0575645793888,0.00224156094645952,-0.0419369354486602,0.0120758129968382,-3.47280431219335,0.000518795404236447,0.120332295920603,0.0160261207399028,7.50851050441624,6.88144204535532e-14,0.0269580210090824,0.0118202056963876,2.28067274813341,0.0226037800989008,-0.0204553540371615,0.0161124025361367,-1.26954090125817,0.204298938357943,-0.0171748707723902,0.0141469025177374,-1.2140375429078,0.224782614808805,0.000307894626169434,0.00944271111880269,0.0326065917188065,0.973989430535743,-0.00516505041560447,0.00901055151113398,-0.573222450282008,0.566516216761634,-0.0830486821742531,0.0144285002810374,-5.75587764193341,9.05883914379416e-09,0.007004136476745,0.00902964355710564,0.775682498699883,0.437967971529315,-0.00519236274471744,0.00986141777703073,-0.526533087038612,0.598537920652898,0.0186491055480345,0.0110766048213117,1.68364818000486,0.0923032727228109,-0.0289300022365095,0.0107353739530045,-2.69482948271335,0.00706267825249656,0.00342785287628963,0.0113443300432195,0.302164417222546,0.762537517834873,-0.0543355138414404,0.0133417391551226,-4.072596024378,4.71088269084782e-05,0.00269547866691267,0.0122500781848905,0.220037670472775,0.825849528767394,0.051085956315252,0.0147292535503203,3.4683330109516,0.000527487136458509,-0.00431093203360723,0.00932954269812239,-0.462073241218439,0.644046058584062
"CN",-0.034724932425677,0.0144020907893611,-2.41110356361096,0.0159350938416523,-0.0128125603380736,0.00867074373263733,-1.47767720199666,0.139548272794604,0.0368198321069785,0.0143705126730742,2.56217943956636,0.0104266878889505,0.0117002417063345,0.0168751237609887,0.69334257170799,0.488122241652431,-0.0304190015540077,0.0146832170148635,-2.07168507577156,0.0383387410025323,-0.0179180018576455,0.0116506073080928,-1.537945738262,0.124116206961613,-0.0305536084569428,0.0174285616374854,-1.75307687992037,0.0796414195069338,-0.0221175396832913,0.0153908379892427,-1.43705883323249,0.150754996091959,0.0126734598595714,0.0104892094814506,1.20823784499523,0.227004845221602,-0.0220460297418062,0.00974622479398839,-2.26200710611605,0.0237336664931046,0.0915381429174248,0.0193132466414535,4.73965587541088,2.19172034903032e-06,0.0264908669999726,0.0124658165017931,2.12508077558836,0.0336218576730089,0.0166314642032875,0.0110014319521694,1.51175449483263,0.13065058536128,0.00490730719556437,0.0121005643851503,0.405543662210218,0.685092827902212,0.000362214887515808,0.0136049152943032,0.0266238252631738,0.978760682346661,0.0162818734074657,0.0127435563969788,1.27765538129731,0.201421889335514,-0.0450577015638783,0.0150947165231529,-2.98499819422026,0.00284758507956944,-0.0257253937282677,0.0122930545708537,-2.09267709502091,0.0364211598366858,0.0313550773685851,0.0159646323558144,1.96403378854918,0.0495736648629715,-0.00792969333715903,0.0107473574369152,-0.737827264395431,0.460649149544979
