"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","data$patent_title","data$year","data$country"
"1",0.0039700231708257,0.00339303869276804,0.0406333329887655,0.00231285710553917,0.694224252739597,0.000638715023469043,0.00581084965682544,0.00510430160643357,0.00530999906524328,0.00791087155569064,0.00175773108605285,0.00535361269649738,0.0859524848150252,0.0025577914835728,0.0110389977997962,0.00268252436994279,0.070476788627053,0.0284817418190332,0.0187945477484078,0.00359553794946102,"Active cooling of structures immersed in plasma",2018,"US"
"2",0.0553159737304483,0.132206467566137,0.167897793685131,0.00798910203053718,0.137295437028621,0.0026139971401456,0.00463836218135704,0.0576839977419231,0.0135211201624531,0.0280328329647045,0.0123324349020513,0.062370400289343,0.0166040728645604,0.00476014428604723,0.17853013926063,0.0849451956989655,0.0142170230029548,0.00521047818739437,0.00504122519118412,0.00879380208541117,"Alf{acute over (v)}en-wave gyrating non-linear inertial-confinement reactor",2020,"US"
"3",0.0608613998820091,0.0228288553226596,0.312539137458898,0.00704854290384273,0.165007337936732,0.0034318614094705,0.00384112755462862,0.0110622869883823,0.024157404242473,0.0596600293644028,0.00445329309614165,0.0153708606603491,0.0199843238424333,0.00424492470520698,0.159047519920536,0.058897150234239,0.0128705304109881,0.00437254200449251,0.00526094085728849,0.0450599312048262,"Apparatus and method for controlling a plasma fusion reactor",2019,"CA"
"4",0.00359381903981361,0.00528940506779099,0.00957311931030093,0.00233283096400965,0.00166998912756817,0.000794006269557639,0.138230968137719,0.00389978504661783,0.00608057580701768,0.0019403864936288,0.00213796423198168,0.00189841409238251,0.399718571781867,0.00243450554151845,0.00317056605840109,0.00316223514862929,0.0196142530724898,0.195351032514763,0.196758963915753,0.0023486083781905,"Apparatus and method for generating a vortex cavity in a rotating fluid",2020,"CA"
"5",0.0705476055954425,0.0732455594800338,0.0231680137451267,0.00895717740331495,0.571942519098407,0.00178222078881982,0.0724565173957569,0.0210859743422341,0.0147986313241166,0.0093453479092796,0.00903588900529721,0.0128927680925259,0.0182266404702888,0.00422646992328587,0.0246072675153298,0.0144370448186366,0.0119671344170225,0.0162412950002131,0.0106436439257654,0.0103922797491028,"Apparatus and methods for fusion based power generation and engine thrust generation",2016,"US"
"6",0.00405941397448487,0.00471619862398576,0.0086786977309172,0.00529839713819923,0.365978360059484,0.0024195369542323,0.0135406410215251,0.0151318819882869,0.00299235438363317,0.00858297621142583,0.00436710862542617,0.0815574556809875,0.0712492682553215,0.0141479001158929,0.071829297913048,0.00324147226351082,0.0496920494028167,0.0360843955006665,0.231688634552352,0.00474395960380355,"Apparatus for accelerating and compressing plasma",2017,"CA"
"7",0.00820873655933804,0.00722398972473429,0.0178870672709364,0.00317553861179012,0.701894566786822,0.000772146437969825,0.0734575551070902,0.0202020186463024,0.0632121905320371,0.00606594091972471,0.00237042599903291,0.00672791800078222,0.009294650817391,0.00251490675928119,0.0443425152507358,0.00325846770560678,0.00825591290323796,0.00959678199781014,0.00656745293583046,0.00497121703354643,"Apparatus for magnetic and electrostatic confinement of plasma",2019,"US"
"8",0.0082052170310171,0.00709603206045083,0.0174988088328469,0.00319899265938424,0.697871814898251,0.000810671419604539,0.0761739861776775,0.0202440925401022,0.0619212540330509,0.00624161699634618,0.00244095427631252,0.00703582241945105,0.00922676623908275,0.00267420715598081,0.0457701414548405,0.00328161254070035,0.00890549722660929,0.00975175049086932,0.00653205833371449,0.00511870321370795,"Apparatus for magnetic and electrostatic confinement of plasma",2016,"US"
"9",0.00820873655933804,0.00722398972473429,0.0178870672709364,0.00317553861179012,0.701894566786822,0.000772146437969825,0.0734575551070902,0.0202020186463024,0.0632121905320371,0.00606594091972471,0.00237042599903291,0.00672791800078222,0.009294650817391,0.00251490675928119,0.0443425152507358,0.00325846770560678,0.00825591290323796,0.00959678199781014,0.00656745293583046,0.00497121703354643,"Apparatus for magnetic and electrostatic confinement of plasma",2017,"US"
"10",0.0168145015051603,0.0334554339420103,0.0442425070085697,0.0276568054166338,0.241686101030834,0.00554378628194217,0.0197864301096577,0.0114199719765527,0.00874923779648669,0.0962624013357017,0.0258153084919001,0.144209644840739,0.0337145050373799,0.0106581092033086,0.152362847420989,0.020947093416103,0.0789748761228543,0.0106666579067554,0.00663610090625296,0.0103976802501684,"Application of compressed magnetic fields to the ignition and thermonuclear burn of inertial confinement fusion targets",2018,"US"
"11",0.0234738073092357,0.0213837867901316,0.00761806237943317,0.0436620955294256,0.0388243586456837,0.105519849342226,0.00557554190043753,0.0563247538408513,0.00605613810710922,0.0229152396057289,0.120658534195726,0.0716717688620157,0.005485096064558,0.160155978192999,0.0960489260803297,0.0803529871778552,0.0140599893485438,0.0161141734044404,0.0137907269856561,0.0903081862376129,"Arrangement of expanding optical flows for efficient laser extraction",2021,"US"
"12",0.267834183847615,0.017374647458201,0.0093739067782664,0.033343880815352,0.202696084805226,0.0147835367035993,0.00662087073229876,0.0141467259793036,0.041710608372852,0.0158730122145374,0.016518980632649,0.0443268978485129,0.00446267842732341,0.124405207508601,0.124067510799251,0.00975107663955672,0.0158775258217982,0.017595567197984,0.00603617822526983,0.0132009191918011,"Asteroid redirection and soft landing facilitated by cosmic ray and muon-catalyzed fusion",2020,"US"
